,Curricular units 1st sem (approved),Curricular units 2nd sem (approved),Target_Graduate
366,6,6,1
367,1,5,0
368,7,6,1
369,7,7,0
370,11,7,1
371,4,4,0
372,6,6,1
373,5,5,1
374,0,0,0
375,10,10,0
376,0,0,0
377,7,8,1
378,7,6,0
379,5,2,0
380,5,6,0
381,6,8,0
382,3,3,0
383,6,6,1
384,9,8,1
385,6,6,1
386,6,6,1
387,11,10,1
388,5,5,0
389,6,6,1
390,4,1,0
391,5,5,0
392,5,5,0
393,2,2,0
394,6,6,1
395,7,7,1
396,11,11,1
397,6,3,1
398,5,4,0
399,3,0,0
400,5,4,0
401,3,3,0
402,4,3,0
403,6,4,0
404,7,7,1
405,0,0,1
406,13,12,1
407,5,5,1
408,6,6,1
409,0,0,0
410,7,7,1
411,7,7,1
412,7,7,1
413,5,5,1
414,6,6,1
415,5,5,1
416,6,6,1
417,5,3,0
418,6,6,1
419,0,0,0
420,7,8,1
421,7,5,1
422,0,0,0
423,8,8,1
424,7,8,1
425,6,6,1
426,6,6,1
427,3,2,0
428,0,0,0
429,5,4,1
430,7,7,1
431,6,5,1
432,5,5,1
433,0,0,0
434,5,6,1
435,7,7,1
436,4,6,0
437,6,6,1
438,0,0,0
439,6,6,1
440,0,1,0
441,1,3,0
442,7,7,1
443,7,7,1
444,4,4,1
445,6,6,1
446,7,8,1
447,7,8,0
448,6,5,1
449,5,5,0
450,7,7,1
451,7,7,1
452,7,8,1
453,5,5,1
454,5,4,0
455,6,2,1
456,0,0,0
457,5,5,0
458,12,11,1
459,6,6,1
460,5,5,1
461,11,11,1
462,5,4,1
463,5,5,1
464,5,4,0
465,9,5,0
466,5,8,0
467,16,13,1
468,8,8,1
469,5,5,1
470,7,7,1
471,6,6,1
472,6,5,0
473,6,6,1
474,0,0,0
475,4,5,1
476,2,0,0
477,0,0,0
478,6,7,1
479,5,5,0
480,6,8,1
481,7,7,1
482,0,0,0
483,6,2,0
484,6,7,1
485,6,5,1
486,6,4,0
487,5,4,0
488,7,8,1
489,6,7,1
490,6,6,1
491,6,6,1
492,6,6,1
493,5,4,0
494,6,6,0
495,2,1,0
496,1,0,0
497,5,5,1
498,5,6,1
499,8,8,1
500,3,5,0
501,6,5,1
502,5,4,0
503,1,0,0
504,7,7,1
505,4,3,0
506,7,5,0
507,6,6,1
508,4,5,0
509,0,0,0
510,4,0,0
511,0,0,0
512,4,4,1
513,0,0,0
514,0,0,0
515,0,0,0
516,6,5,1
517,5,3,0
518,1,1,0
519,4,5,0
520,7,7,1
521,2,5,1
522,5,6,1
523,4,5,1
524,4,0,0
525,1,1,0
526,1,3,0
527,0,0,1
528,0,0,0
529,5,4,0
530,3,3,0
531,0,0,0
532,7,7,1
533,0,0,0
534,0,0,1
535,4,5,1
536,1,0,0
537,5,5,1
538,6,6,1
539,4,6,0
540,7,8,1
541,5,2,0
542,6,6,1
543,7,8,1
544,5,5,0
545,4,3,0
546,5,2,0
547,6,2,0
548,6,6,0
549,5,5,1
550,3,3,0
551,4,4,0
552,9,3,0
553,2,0,0
554,0,0,0
555,14,6,0
556,3,3,0
557,0,0,1
558,3,3,0
559,8,8,1
560,11,11,1
561,2,3,0
562,1,2,0
563,6,5,1
564,6,6,1
565,6,6,1
566,0,0,0
567,3,3,0
568,5,5,1
569,5,5,1
570,6,6,1
571,0,1,0
572,3,3,0
573,3,5,0
574,0,0,1
575,0,0,0
576,7,7,1
577,5,5,0
578,6,6,1
579,4,6,1
580,0,0,0
581,7,7,1
582,6,6,0
583,4,4,1
584,5,5,1
585,5,5,1
586,3,5,1
587,6,6,1
588,6,3,1
589,7,8,1
590,6,6,1
591,4,5,0
592,6,6,1
593,5,4,0
594,6,5,0
595,11,11,0
596,4,3,0
597,6,5,0
598,6,6,1
599,18,13,1
600,0,0,0
601,4,4,0
602,7,8,1
603,6,6,1
604,7,8,1
605,0,0,0
606,0,0,0
607,7,7,1
608,0,0,0
609,5,5,0
610,7,7,1
611,5,6,1
612,6,6,1
613,4,5,0
614,7,7,1
615,7,7,1
616,6,6,1
617,7,8,1
618,6,8,1
619,5,4,0
620,6,6,1
621,2,2,0
622,4,4,0
623,8,8,1
624,6,3,0
625,5,5,0
626,9,6,1
627,7,8,1
628,6,6,1
629,5,5,1
630,7,7,1
631,5,4,0
632,7,8,1
633,7,7,1
634,6,5,1
635,6,6,1
636,7,7,1
637,3,4,0
638,5,5,1
639,6,6,0
640,4,0,0
641,3,2,0
642,2,3,0
643,8,8,0
644,0,0,0
645,2,3,0
646,5,1,0
647,5,5,1
648,7,8,1
649,4,4,1
650,6,6,1
651,9,6,0
652,7,7,1
653,5,6,1
654,4,4,1
655,5,3,0
656,5,2,0
657,13,11,1
658,5,5,1
659,0,0,0
660,6,6,1
661,5,6,0
662,6,6,1
663,3,4,1
664,7,8,1
665,5,5,1
666,5,4,0
667,11,11,1
668,0,0,0
669,17,17,1
670,6,6,1
671,9,7,0
672,7,8,1
673,6,5,1
674,6,6,1
675,2,2,0
676,6,6,1
677,5,4,0
678,1,0,0
679,0,0,1
680,6,6,1
681,6,6,1
682,5,5,0
683,0,0,0
684,7,9,1
685,9,10,1
686,3,2,0
687,7,8,1
688,5,5,1
689,0,0,0
690,0,0,0
691,19,13,1
692,6,4,0
693,3,0,0
694,4,4,1
695,4,2,0
696,6,6,1
697,3,5,0
698,5,6,1
699,3,1,0
700,5,3,0
701,3,3,0
702,4,1,0
703,0,0,0
704,9,7,1
705,5,4,0
706,10,7,1
707,18,13,1
708,11,9,1
709,0,0,0
710,0,0,0
711,0,0,0
712,4,5,1
713,7,7,1
714,5,5,1
715,13,11,1
716,0,0,0
717,3,0,0
718,5,5,0
719,5,5,0
720,6,3,0
721,6,6,0
722,0,0,1
723,1,0,0
724,0,0,0
725,7,8,1
726,6,7,1
727,0,0,0
728,0,0,1
729,4,5,0
730,5,3,0
731,5,5,1
732,6,5,1
733,3,4,1
734,0,0,0
735,6,5,1
736,7,6,0
737,2,3,0
738,11,10,0
739,6,5,0
740,0,0,0
741,6,6,1
742,5,6,0
743,4,3,0
744,5,6,1
745,0,0,0
746,3,2,0
747,18,12,1
748,0,0,0
749,7,8,1
750,4,3,1
751,6,6,1
752,8,8,1
753,0,0,0
754,6,6,1
755,0,0,0
756,4,3,0
757,12,11,0
758,6,4,1
759,8,5,1
760,18,12,1
761,0,0,0
762,9,6,1
763,1,1,0
764,16,10,1
765,5,5,0
766,4,4,0
767,9,7,1
768,9,7,1
769,6,6,1
770,6,6,1
771,0,0,0
772,6,7,0
773,6,6,1
774,4,4,0
775,6,3,0
776,6,6,1
777,8,9,0
778,6,6,0
779,6,6,1
780,6,6,1
781,2,4,0
782,7,8,1
783,6,6,0
784,5,6,1
785,6,6,1
786,6,5,1
787,7,7,1
788,5,5,0
789,0,0,1
790,6,6,1
791,2,0,0
792,6,6,1
793,6,5,1
794,6,6,1
795,6,6,1
796,7,9,1
797,7,8,1
798,6,6,1
799,6,4,0
800,6,4,0
801,0,0,0
802,5,5,1
803,6,6,1
804,7,7,1
805,2,3,0
806,6,6,1
807,6,4,0
808,0,0,0
809,6,6,0
810,0,0,0
811,7,6,1
812,7,8,1
813,7,8,1
814,7,7,1
815,5,3,0
816,6,6,0
817,6,6,1
818,7,7,0
819,6,6,1
820,5,4,1
821,0,0,1
822,6,6,0
823,6,6,1
824,6,6,1
825,6,5,1
826,7,6,0
827,6,6,1
828,8,8,1
829,0,0,0
830,6,6,0
831,0,0,0
832,5,2,0
833,2,1,0
834,0,0,0
835,4,2,0
836,3,4,0
837,5,2,0
838,0,0,0
839,5,5,1
840,0,0,0
841,4,4,0
842,0,0,0
843,6,6,1
844,5,5,1
845,0,0,0
846,5,5,1
847,3,4,1
848,4,5,0
849,7,8,1
850,7,7,1
851,5,4,0
852,6,6,1
853,7,7,1
854,0,0,0
855,5,0,0
856,6,6,0
857,0,0,0
858,0,0,0
859,4,2,0
860,5,3,0
861,0,0,0
862,2,7,0
863,3,2,0
864,6,6,0
865,7,8,1
866,0,0,0
867,0,0,0
868,6,5,1
869,0,0,1
870,6,6,1
871,1,2,0
872,13,10,1
873,5,6,0
874,5,4,1
875,7,8,1
876,4,5,0
877,2,0,0
878,3,5,1
879,5,7,0
880,6,5,1
881,0,0,1
882,1,0,0
883,3,6,0
884,7,7,1
885,10,9,1
886,6,6,1
887,6,7,1
888,7,8,1
889,4,4,1
890,6,6,1
891,0,0,0
892,7,7,1
893,0,0,0
894,18,13,1
895,3,1,0
896,6,6,1
897,12,11,1
898,6,4,0
899,6,6,1
900,2,2,0
901,6,5,1
902,8,8,1
903,6,6,1
904,1,0,0
905,7,8,1
906,0,0,0
907,5,6,1
908,4,3,0
909,0,0,0
910,6,6,1
911,4,5,1
912,5,2,0
913,5,6,1
914,0,0,0
915,6,6,1
916,0,0,0
917,0,0,0
918,6,6,1
919,5,6,1
920,4,5,1
921,6,6,1
922,4,4,0
923,3,2,0
924,2,3,0
925,6,6,1
926,1,0,0
927,7,6,0
928,0,0,0
929,0,0,0
930,1,2,0
931,6,7,1
932,8,8,1
933,3,2,0
934,7,7,0
935,12,11,1
936,1,1,0
937,6,7,0
938,6,4,0
939,5,3,0
940,6,5,1
941,6,6,1
942,0,0,0
943,0,0,0
944,7,8,1
945,6,6,1
946,5,5,1
947,0,0,0
948,10,4,1
949,0,0,0
950,5,5,1
951,0,0,0
952,6,6,1
953,0,0,0
954,4,4,0
955,3,1,0
956,6,6,1
957,6,5,1
958,5,5,1
959,0,0,0
960,3,2,0
961,15,14,1
962,3,5,1
963,2,2,0
964,6,5,1
965,5,5,1
966,0,0,0
967,0,0,0
968,0,0,0
969,3,2,0
970,4,4,1
971,1,0,0
972,0,0,0
973,1,4,1
974,5,5,1
975,3,3,0
976,6,6,1
977,5,4,1
978,5,5,0
979,9,8,1
980,4,2,0
981,4,5,0
982,6,6,1
983,4,4,0
984,2,1,0
985,7,7,1
986,6,6,1
987,5,0,0
988,3,2,0
989,5,2,0
990,7,8,1
991,6,5,1
992,6,6,0
993,6,6,1
994,5,5,1
995,6,6,1
996,5,6,0
997,5,2,0
998,6,5,1
999,6,6,0
1000,0,0,0
1001,0,0,0
1002,0,0,1
1003,5,3,1
1004,6,6,0
1005,3,5,1
1006,7,7,1
1007,9,9,1
1008,7,7,1
1009,6,6,1
1010,7,6,1
1011,6,7,1
1012,5,5,1
1013,0,0,0
1014,5,5,1
1015,6,6,1
1016,4,0,0
1017,11,11,1
1018,1,0,0
1019,6,6,1
1020,8,8,1
1021,6,5,1
1022,6,6,1
1023,6,6,1
1024,7,7,1
1025,2,2,0
1026,5,5,1
1027,5,5,1
1028,7,8,1
1029,7,7,1
1030,3,3,1
1031,4,4,0
1032,6,6,1
1033,4,5,1
1034,2,0,0
1035,6,6,0
1036,0,0,0
1037,6,6,1
1038,2,6,1
1039,5,5,0
1040,5,5,1
1041,7,7,1
1042,8,5,1
1043,6,7,1
1044,5,5,1
1045,0,0,0
1046,6,6,0
1047,7,7,1
1048,6,7,1
1049,7,8,1
1050,0,0,1
1051,7,8,1
1052,7,8,0
1053,6,5,1
1054,7,8,1
1055,7,7,1
1056,7,7,0
1057,6,6,1
1058,5,4,0
1059,7,7,1
1060,7,4,0
1061,0,0,0
1062,5,6,1
1063,8,8,1
1064,5,4,0
1065,11,8,0
1066,6,6,1
1067,5,5,1
1068,7,8,1
1069,4,5,1
1070,8,8,1
1071,6,6,1
1072,4,5,0
1073,4,5,1
1074,5,6,1
1075,6,6,1
1076,11,8,0
1077,4,1,0
1078,0,0,0
1079,6,7,1
1080,6,6,1
1081,5,5,1
1082,5,4,0
1083,7,7,1
1084,6,6,1
1085,0,0,0
1086,6,6,1
1087,5,6,1
1088,5,6,0
1089,0,0,0
1090,4,5,1
1091,0,0,0
1092,5,6,1
1093,5,6,0
1094,7,8,1
1095,3,3,0
1096,0,0,0
1097,5,4,1
1098,6,6,1
1099,8,8,1
1100,4,5,0
1101,0,0,0
1102,3,4,0
1103,6,7,0
1104,2,5,1
1105,0,0,0
1106,7,7,0
1107,7,8,1
1108,7,5,0
1109,4,5,1
1110,6,6,1
1111,7,7,1
1112,5,6,0
1113,3,3,0
1114,6,7,1
1115,8,8,1
1116,0,0,0
1117,6,7,1
1118,7,5,0
1119,6,6,1
1120,4,5,0
1121,5,5,1
1122,7,8,1
1123,6,5,1
1124,6,6,1
1125,5,4,1
1126,7,8,1
1127,5,5,1
1128,5,5,1
1129,7,7,1
1130,8,8,1
1131,7,7,1
1132,4,3,0
1133,7,8,1
1134,0,0,0
1135,4,3,0
1136,6,6,1
1137,6,3,0
1138,7,7,1
1139,6,6,1
1140,7,7,1
1141,5,3,0
1142,4,4,0
1143,6,6,1
1144,3,4,0
1145,5,5,1
1146,0,0,0
1147,4,5,1
1148,6,6,0
1149,7,7,1
1150,6,6,1
1151,0,0,0
1152,3,3,0
1153,5,5,0
1154,7,7,1
1155,4,4,0
1156,3,1,0
1157,6,6,1
1158,5,5,1
1159,5,5,1
1160,5,5,1
1161,4,7,0
1162,7,7,1
1163,6,6,1
1164,4,0,0
1165,11,8,1
1166,7,7,0
1167,6,5,1
1168,6,6,0
1169,4,4,1
1170,5,5,1
1171,7,7,1
1172,1,1,0
1173,4,5,0
1174,4,4,1
1175,4,3,0
1176,6,5,1
1177,5,5,1
1178,3,2,0
1179,7,8,1
1180,4,3,0
1181,4,4,1
1182,7,6,1
1183,8,5,0
1184,6,6,0
1185,5,6,1
1186,11,10,0
1187,1,1,0
1188,6,4,1
1189,6,6,1
1190,0,0,0
1191,7,7,1
1192,0,0,1
1193,13,12,1
1194,18,13,1
1195,6,7,0
1196,2,0,0
1197,4,3,0
1198,6,6,1
1199,6,6,1
1200,6,6,1
1201,5,6,1
1202,3,2,0
1203,5,4,1
1204,1,0,0
1205,3,4,1
1206,12,12,1
1207,6,6,0
1208,1,0,0
1209,4,4,0
1210,0,0,0
1211,4,5,0
1212,8,8,1
1213,3,4,1
1214,6,7,0
1215,7,8,1
1216,5,4,1
1217,6,6,1
1218,7,7,1
1219,5,5,1
1220,0,0,0
1221,7,8,1
1222,0,0,0
1223,5,6,1
1224,8,8,1
1225,6,6,1
1226,3,5,1
1227,5,6,1
1228,8,8,1
1229,8,5,0
1230,5,5,1
1231,6,6,1
1232,6,6,1
1233,6,6,1
1234,7,7,1
1235,2,3,0
1236,7,8,1
1237,1,0,0
1238,6,6,1
1239,0,0,0
1240,5,4,0
1241,2,3,0
1242,1,1,0
1243,5,5,1
1244,4,1,0
1245,1,1,0
1246,6,6,1
1247,0,0,0
1248,1,1,0
1249,3,5,0
1250,6,6,1
1251,6,6,1
1252,5,5,1
1253,4,6,1
1254,0,4,0
1255,0,1,0
1256,6,6,1
1257,7,8,1
1258,7,7,1
1259,6,6,1
1260,5,6,1
1261,0,2,0
1262,0,0,0
1263,6,6,1
1264,7,7,1
1265,8,8,1
1266,6,5,1
1267,7,7,1
1268,8,5,0
1269,1,0,0
1270,5,6,0
1271,5,4,1
1272,2,4,0
1273,0,0,0
1274,5,5,1
1275,6,6,1
1276,4,5,1
1277,4,5,0
1278,4,4,0
1279,6,6,1
1280,6,6,1
1281,7,7,1
1282,0,0,0
1283,5,5,1
1284,4,4,1
1285,6,6,0
1286,6,5,0
1287,6,6,1
1288,5,4,1
1289,6,7,1
1290,4,6,0
1291,7,7,1
1292,3,2,0
1293,5,5,1
1294,0,0,0
1295,1,0,0
1296,0,0,0
1297,4,5,0
1298,5,5,1
1299,4,3,0
1300,3,0,0
1301,0,0,0
1302,0,0,1
1303,10,8,1
1304,6,6,1
1305,6,6,1
1306,12,10,1
1307,5,5,1
1308,7,7,1
1309,7,7,1
1310,11,8,1
1311,6,6,1
1312,6,6,1
1313,7,8,0
1314,6,3,0
1315,6,7,1
1316,3,4,0
1317,3,3,0
1318,4,3,0
1319,5,5,1
1320,6,6,1
1321,6,6,0
1322,8,8,1
1323,6,6,1
1324,4,2,0
1325,6,6,1
1326,4,2,0
1327,1,0,0
1328,7,8,1
1329,4,3,0
1330,7,8,1
1331,7,8,1
1332,0,1,0
1333,3,4,0
1334,7,8,1
1335,5,5,0
1336,6,6,0
1337,5,4,0
1338,5,5,0
1339,7,7,1
1340,6,6,1
1341,5,4,1
1342,5,4,1
1343,5,5,1
1344,6,6,0
1345,6,6,1
1346,6,6,1
1347,5,7,0
1348,11,8,0
1349,6,6,1
1350,0,0,1
1351,7,7,1
1352,6,6,1
1353,0,0,0
1354,5,5,0
1355,6,5,0
1356,4,0,0
1357,0,0,0
1358,0,0,0
1359,0,0,0
1360,1,0,0
1361,7,7,1
1362,0,0,0
1363,0,0,1
1364,6,6,1
1365,0,0,0
1366,9,6,0
1367,7,7,1
1368,3,4,0
1369,5,6,1
1370,6,6,1
1371,7,7,1
1372,6,6,1
1373,5,5,1
1374,3,3,0
1375,0,0,0
1376,5,4,0
1377,0,0,1
1378,1,0,0
1379,0,0,0
1380,7,5,1
1381,0,0,0
1382,18,13,1
1383,6,6,1
1384,6,2,1
1385,2,0,0
1386,0,0,0
1387,5,5,1
1388,0,0,0
1389,4,3,0
1390,8,8,1
1391,6,5,1
1392,0,0,0
1393,6,6,1
1394,5,6,1
1395,5,6,1
1396,6,6,0
1397,7,9,1
1398,6,7,1
1399,7,7,1
1400,0,0,0
1401,6,5,1
1402,5,5,1
1403,7,8,1
1404,0,0,0
1405,0,0,0
1406,7,7,1
1407,5,5,0
1408,4,1,0
1409,5,5,1
1410,0,0,0
1411,4,6,1
1412,6,10,1
1413,4,3,0
1414,7,8,1
1415,5,4,1
1416,0,0,0
1417,6,5,1
1418,5,5,1
1419,6,5,0
1420,5,5,0
1421,5,3,0
1422,6,6,1
1423,6,6,1
1424,4,5,0
1425,0,0,1
1426,6,4,1
1427,5,2,0
1428,3,4,0
1429,5,6,1
1430,7,7,1
1431,4,1,0
1432,6,5,0
1433,6,6,1
1434,6,6,0
1435,6,2,0
1436,2,2,0
1437,6,6,1
1438,6,6,1
1439,4,5,1
1440,4,4,1
1441,17,17,1
1442,6,6,1
1443,0,0,0
1444,5,5,1
1445,0,0,0
1446,0,0,0
1447,4,3,0
1448,3,3,0
1449,6,9,1
1450,6,5,0
1451,11,12,1
1452,0,0,0
1453,6,6,1
1454,4,4,0
1455,0,0,0
1456,5,4,0
1457,6,6,0
1458,4,1,0
1459,0,0,0
1460,4,4,0
1461,5,6,1
1462,3,4,0
1463,2,1,0
1464,6,5,0
1465,11,8,1
1466,3,0,0
1467,4,4,0
1468,6,6,1
1469,6,6,1
1470,5,4,0
1471,4,5,0
1472,6,6,1
1473,0,0,0
1474,4,2,0
1475,4,5,1
1476,2,2,0
1477,12,11,1
1478,2,0,0
1479,4,0,0
1480,5,5,0
1481,4,6,1
1482,6,6,1
1483,6,4,1
1484,6,6,1
1485,4,5,1
1486,11,7,1
1487,6,5,0
1488,0,0,0
1489,4,5,1
1490,6,6,1
1491,6,6,1
1492,4,2,0
1493,4,5,1
1494,0,0,0
1495,5,5,1
1496,7,8,1
1497,6,5,1
1498,5,6,0
1499,6,5,1
1500,6,6,1
1501,1,0,0
1502,5,5,1
1503,5,5,0
1504,7,7,0
1505,3,3,0
1506,4,4,0
1507,0,0,1
1508,13,12,1
1509,0,0,0
1510,0,0,0
1511,4,4,0
1512,0,0,1
1513,6,6,1
1514,0,0,0
1515,17,17,1
1516,0,0,0
1517,12,11,1
1518,0,0,0
1519,0,0,0
1520,1,0,0
1521,5,5,1
1522,4,0,0
1523,5,4,0
1524,0,0,0
1525,7,7,1
1526,6,4,0
1527,3,3,1
1528,6,4,1
1529,7,7,0
1530,2,3,0
1531,6,6,1
1532,6,4,1
1533,4,3,0
1534,5,5,1
1535,4,6,0
1536,0,0,0
1537,6,6,1
1538,2,3,0
1539,0,0,0
1540,3,4,0
1541,0,0,0
1542,1,0,0
1543,0,0,0
1544,4,3,0
1545,4,6,1
1546,5,5,0
1547,0,0,0
1548,0,0,0
1549,0,0,0
1550,16,13,1
1551,10,6,1
1552,14,12,1
1553,5,5,1
1554,6,6,1
1555,7,8,1
1556,0,0,0
1557,0,0,0
1558,0,0,0
1559,8,8,1
1560,7,4,0
1561,5,4,0
1562,3,5,1
1563,3,2,0
1564,6,4,0
1565,6,6,1
1566,7,8,1
1567,4,5,1
1568,0,2,0
1569,0,0,0
1570,12,7,0
1571,0,0,0
1572,0,0,0
1573,5,4,0
1574,8,5,1
1575,0,0,1
1576,5,4,0
1577,4,4,0
1578,3,3,0
1579,0,0,0
1580,6,6,1
1581,1,4,0
1582,0,1,0
1583,5,5,0
1584,5,6,1
1585,0,0,1
1586,4,4,0
1587,5,3,0
1588,2,1,0
1589,6,6,1
1590,1,0,0
1591,0,0,0
1592,4,2,0
1593,0,0,0
1594,2,4,0
1595,4,4,0
1596,6,6,0
1597,6,6,1
1598,4,5,0
1599,4,3,0
1600,0,0,1
1601,6,4,0
1602,5,3,0
1603,6,5,1
1604,2,0,0
1605,11,8,0
1606,4,6,1
1607,8,8,1
1608,6,5,0
1609,6,6,1
1610,3,2,0
1611,5,5,0
1612,6,8,1
1613,0,0,0
1614,6,6,1
1615,3,2,0
1616,4,4,1
1617,5,5,0
1618,6,6,0
1619,6,5,1
1620,6,5,1
1621,3,5,1
1622,6,4,0
1623,6,4,0
1624,10,9,0
1625,1,0,0
1626,6,5,1
1627,4,4,0
1628,3,4,0
1629,0,0,0
1630,4,4,1
1631,0,0,0
1632,5,5,1
1633,13,11,0
1634,5,5,1
1635,6,6,1
1636,3,4,1
1637,6,7,1
1638,0,0,0
1639,11,11,1
1640,7,8,1
1641,6,6,1
1642,7,8,1
1643,5,6,1
1644,5,1,0
1645,0,0,0
1646,12,11,1
1647,7,8,1
1648,7,7,0
1649,7,7,1
1650,7,7,0
1651,7,7,1
1652,5,5,0
1653,7,8,1
1654,6,0,0
1655,5,5,1
1656,5,5,1
1657,4,2,0
