,Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Displaced,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,units_approved_rate_1st,units_approved_rate_2nd,Target_Graduate
40,1,1,5,15,1,1,1,3,3,3,3,0,1,1,0,0,18,0,0,6,6,4,12,0,0,5,5,0,0,0,12,3,0.6666666666666666,0.0,0
41,1,1,2,9,1,1,1,3,14,3,8,1,0,1,0,0,22,0,0,5,5,5,14,0,0,5,5,5,15,0,8,1,1.0,1.0,1
42,1,1,6,12,1,1,1,1,3,3,3,1,0,1,0,0,22,0,0,7,9,5,13,0,0,8,9,7,14,0,11,0,0.7142857142857143,0.875,1
43,1,8,1,15,1,1,1,1,28,6,6,0,0,0,0,0,20,0,0,6,7,4,13,0,0,6,7,5,13,0,12,0,0.6666666666666666,0.8333333333333334,0
44,1,12,1,17,0,1,1,22,27,10,10,0,0,1,0,0,29,0,0,5,0,0,0,0,0,5,0,0,0,0,16,0,0.0,0.0,0
45,1,8,1,17,0,1,1,23,28,5,6,0,0,1,0,0,24,0,0,5,9,2,11,0,0,5,11,3,14,1,7,2,0.4,0.6,0
46,1,8,2,10,1,1,1,13,14,10,10,1,0,1,0,0,18,0,0,6,6,6,11,0,0,6,8,5,13,0,11,0,1.0,0.8333333333333334,1
47,1,8,6,12,1,1,1,22,14,8,8,1,0,1,0,1,22,0,0,7,8,6,13,0,0,8,9,7,13,0,11,0,0.8571428571428571,0.875,1
48,1,15,1,3,0,14,1,1,14,10,10,0,0,1,0,1,21,0,3,6,6,6,11,0,2,6,7,6,13,0,12,0,1.0,1.0,1
49,1,1,1,10,1,1,1,22,28,10,10,0,0,1,0,1,19,0,0,6,7,5,12,0,0,6,7,6,12,0,12,3,0.8333333333333334,1.0,1
50,1,12,1,11,1,1,1,13,28,10,8,0,0,1,0,1,24,0,0,6,6,6,13,0,0,6,6,6,14,0,12,0,1.0,1.0,1
51,1,1,1,12,1,1,1,22,28,7,7,1,0,1,0,1,19,0,0,8,10,6,11,0,0,8,10,6,11,0,9,0,0.75,0.75,0
52,1,1,1,15,1,1,1,1,14,8,8,1,0,1,0,1,20,0,0,6,11,4,14,0,0,6,12,3,11,0,9,0,0.6666666666666666,0.5,0
53,1,1,3,8,1,1,1,22,27,12,12,0,0,1,0,0,19,0,0,5,7,5,14,0,0,5,5,5,15,0,7,2,1.0,1.0,1
54,1,12,1,17,0,1,1,23,28,10,10,0,0,1,0,0,27,0,0,5,12,5,10,0,0,5,10,5,11,0,9,0,1.0,1.0,0
55,1,1,1,12,1,1,1,1,14,6,6,1,0,1,0,0,18,0,0,7,9,7,13,0,0,8,10,8,13,0,15,2,1.0,1.0,1
56,2,4,1,11,1,3,1,1,3,5,4,0,0,1,0,0,39,0,0,6,10,0,0,0,0,6,6,0,0,0,12,0,0.0,0.0,0
57,1,12,1,8,1,15,1,3,3,3,3,1,0,1,0,0,27,0,0,6,9,5,13,0,5,11,13,10,12,0,12,0,0.8333333333333334,0.9090909090909091,0
58,1,8,1,12,1,1,1,23,28,8,11,1,0,1,0,0,18,0,0,8,8,8,14,0,0,8,8,8,14,0,9,0,1.0,1.0,1
59,1,1,3,2,1,1,1,23,27,5,10,1,0,1,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0.0,0.0,0
60,1,1,2,12,1,1,1,13,14,10,10,0,0,1,0,0,18,0,0,7,8,6,13,0,0,8,12,7,12,0,16,0,0.8571428571428571,0.875,1
61,1,15,1,10,1,14,1,13,1,10,10,0,0,1,0,1,21,0,3,6,7,6,12,0,2,6,7,6,12,0,13,0,1.0,1.0,1
62,1,8,3,2,1,1,1,1,27,5,8,1,0,1,1,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0.0,0.0,0
63,1,8,1,5,1,1,1,1,1,4,5,1,0,1,1,0,19,0,0,6,6,5,11,0,0,6,8,1,10,0,10,1,0.8333333333333334,0.16666666666666666,0
64,1,14,1,5,1,1,1,1,1,4,4,0,0,1,1,0,24,0,0,6,6,0,0,0,0,6,6,0,0,0,12,3,0.0,0.0,0
65,4,13,1,12,1,12,1,1,1,6,6,1,0,1,1,0,29,0,2,7,10,5,11,0,1,8,10,5,11,0,13,0,0.7142857142857143,0.625,0
66,1,1,3,2,1,1,1,13,14,6,4,1,0,1,1,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0.0,0.0,1
67,1,15,1,4,1,14,1,13,27,10,10,1,0,1,1,0,23,0,0,6,8,6,12,0,0,6,7,6,12,0,8,1,1.0,1.0,1
68,1,1,3,9,1,1,1,1,28,8,8,0,1,1,1,0,19,0,0,5,8,5,11,0,0,5,10,4,10,3,16,0,1.0,0.8,0
69,1,12,1,11,1,1,1,13,27,8,11,0,0,1,1,0,26,0,0,6,7,6,12,0,0,6,8,5,10,0,12,3,1.0,0.8333333333333334,0
70,1,8,1,9,1,1,1,23,27,6,6,0,0,1,1,0,18,0,0,5,9,0,0,0,0,5,5,0,0,0,7,2,0.0,0.0,0
71,1,8,1,12,1,1,1,22,14,9,5,0,0,1,1,0,24,0,0,7,8,7,11,0,0,8,8,8,13,0,13,0,1.0,1.0,1
72,1,1,1,2,1,1,1,13,14,6,11,1,0,1,1,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,0.0,0.0,0
73,1,8,4,11,1,1,1,23,27,6,8,1,0,1,1,0,18,0,0,6,12,3,11,0,0,6,12,1,12,0,12,0,0.5,0.16666666666666666,0
74,1,1,2,15,1,1,1,23,28,10,10,1,0,1,1,0,18,0,0,6,8,6,12,0,0,6,11,3,12,0,10,1,1.0,0.5,1
75,1,8,3,9,1,1,1,13,14,5,8,1,1,1,1,0,18,0,0,5,8,3,10,0,0,5,11,3,10,0,10,1,0.6,0.6,0
76,1,9,4,11,1,1,1,13,27,8,8,1,0,1,1,1,21,0,0,6,8,4,10,0,0,6,11,1,11,0,9,0,0.6666666666666666,0.16666666666666666,0
77,1,8,4,15,1,1,1,1,14,10,9,1,1,1,1,1,19,0,0,6,6,6,13,0,0,6,6,6,13,0,8,1,1.0,1.0,1
78,1,8,4,12,1,1,1,23,27,10,10,0,0,1,1,1,22,0,0,7,7,7,14,0,0,8,9,8,15,0,16,0,1.0,1.0,1
79,2,12,1,3,0,1,1,22,27,10,7,0,0,1,1,0,33,0,0,6,8,6,12,0,0,6,6,6,11,0,10,1,1.0,1.0,1
80,1,1,6,16,1,1,1,13,14,10,10,1,0,1,1,0,20,0,0,6,8,5,12,0,0,6,7,5,12,0,10,1,0.8333333333333334,0.8333333333333334,0
81,1,12,1,17,0,2,1,3,3,3,3,1,0,1,1,0,35,0,0,1,1,0,0,1,0,5,0,0,0,0,10,1,0.0,0.0,0
82,1,12,1,4,1,4,1,3,3,5,3,0,1,1,1,0,24,0,6,12,17,6,12,0,7,12,14,10,13,0,12,0,0.5,0.8333333333333334,0
83,1,8,1,11,1,1,1,13,14,5,5,0,0,1,1,0,18,0,0,5,6,5,12,0,0,5,8,3,11,0,12,3,1.0,0.6,0
84,2,12,1,3,0,1,1,22,27,10,7,1,0,1,0,0,33,0,0,6,7,6,11,0,0,6,11,5,11,0,9,0,1.0,0.8333333333333334,1
85,1,13,1,12,1,1,1,22,28,10,8,1,0,1,0,1,22,0,0,8,8,7,13,0,0,8,8,7,13,0,10,1,0.875,0.875,1
86,1,12,1,14,1,1,1,1,14,5,6,0,0,1,0,1,25,0,0,5,7,4,10,0,0,5,7,5,11,0,9,0,0.8,1.0,1
87,1,8,1,5,1,1,1,13,28,5,1,1,0,1,1,0,20,0,0,6,9,6,10,1,0,6,6,5,11,0,7,2,1.0,0.8333333333333334,1
88,1,1,6,9,1,1,1,23,27,10,10,1,0,1,1,0,23,0,0,5,6,4,14,0,0,5,5,5,13,0,11,0,0.8,1.0,0
89,1,14,2,7,1,1,1,23,14,10,7,1,1,1,1,0,18,0,0,5,9,2,10,0,0,5,9,0,0,0,15,2,0.4,0.0,0
90,1,12,1,12,1,1,1,1,1,5,11,0,0,1,1,0,24,0,0,7,18,0,0,0,0,7,7,0,0,0,13,0,0.0,0.0,0
91,1,8,2,15,1,1,14,13,1,10,10,1,0,0,0,0,21,1,0,6,6,6,14,0,0,6,6,6,13,0,8,1,1.0,1.0,1
92,1,6,1,8,1,1,14,1,1,5,5,0,0,1,0,0,26,1,0,6,7,2,12,1,0,6,6,0,0,0,8,1,0.3333333333333333,0.0,0
93,2,12,1,16,1,8,1,22,24,1,1,0,0,1,0,0,39,0,0,6,12,3,12,0,0,6,14,0,0,1,7,2,0.5,0.0,0
94,2,12,1,3,0,1,1,22,14,10,10,0,0,1,0,0,44,0,2,8,11,8,11,0,0,6,7,6,12,0,12,3,1.0,1.0,1
95,1,6,1,7,1,1,12,23,3,10,3,1,0,1,1,0,19,1,0,5,9,5,14,0,0,5,11,3,13,0,13,0,1.0,0.6,0
96,1,1,5,15,1,1,1,22,1,6,6,1,0,1,0,0,18,0,0,6,6,6,13,0,0,6,6,6,13,0,8,1,1.0,1.0,1
97,1,1,5,12,1,1,1,22,27,8,8,1,0,1,0,1,18,0,0,7,7,7,13,0,0,8,9,8,14,0,12,0,1.0,1.0,1
98,1,1,1,6,1,1,1,1,2,10,2,1,0,1,0,0,19,0,0,5,7,5,14,2,0,5,7,5,13,0,12,3,1.0,1.0,0
99,1,1,4,12,1,1,1,3,3,3,3,1,1,0,0,0,19,0,0,7,10,4,11,0,0,7,7,0,0,0,13,0,0.5714285714285714,0.0,0
100,1,17,1,6,1,16,1,23,28,10,10,0,0,1,0,0,21,0,7,10,12,8,12,0,4,9,14,5,13,0,8,1,0.8,0.5555555555555556,0
101,1,1,4,2,1,1,1,1,1,10,11,1,0,1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0.0,0.0,1
102,2,12,1,3,0,1,1,22,27,7,6,1,0,1,0,0,36,0,0,6,0,0,0,0,0,6,0,0,0,0,9,0,0.0,0.0,0
103,4,12,1,4,1,9,1,22,27,10,7,0,0,1,0,0,43,0,13,18,19,18,14,0,10,13,14,13,14,1,15,2,1.0,1.0,1
104,1,9,1,16,1,1,1,13,14,10,8,1,0,1,0,0,19,0,0,6,0,0,0,0,0,6,0,0,0,0,11,0,0.0,0.0,0
105,1,16,1,5,1,1,1,3,1,3,9,0,1,1,0,0,20,0,4,10,12,10,13,0,5,11,11,11,12,0,11,0,1.0,1.0,1
106,1,1,2,10,1,1,1,22,28,5,8,1,0,1,0,0,19,0,0,6,0,0,0,0,0,6,0,0,0,0,16,0,0.0,0.0,0
107,1,1,1,6,1,1,1,1,1,5,5,1,0,1,0,0,20,0,0,6,15,4,14,0,0,6,17,4,13,0,15,2,0.6666666666666666,0.6666666666666666,0
108,1,1,5,12,1,1,1,3,4,5,4,1,0,1,0,0,20,0,2,7,9,6,13,0,0,7,10,5,12,0,12,0,0.8571428571428571,0.7142857142857143,0
109,1,8,2,16,1,1,1,13,1,10,4,1,0,1,0,0,20,0,0,7,12,6,11,0,0,7,10,3,13,0,16,0,0.8571428571428571,0.42857142857142855,0
110,1,1,1,10,1,1,1,22,27,7,8,1,0,1,0,0,18,0,0,6,8,6,13,0,0,6,6,6,15,0,13,0,1.0,1.0,1
111,1,8,2,9,1,1,1,1,28,5,8,1,0,1,0,1,18,0,0,5,9,3,13,0,0,5,11,3,11,0,8,1,0.6,0.6,0
112,1,1,1,6,1,1,1,13,14,10,10,1,0,1,0,0,19,0,0,5,6,5,13,0,0,5,5,5,12,0,10,1,1.0,1.0,1
113,1,1,3,15,1,1,1,1,28,5,8,1,0,1,0,0,18,0,0,6,6,6,12,0,0,6,7,6,12,0,10,1,1.0,1.0,1
114,1,8,2,12,1,1,1,22,27,10,10,1,0,1,0,0,18,0,0,7,7,6,12,1,0,7,7,6,12,1,7,2,0.8571428571428571,0.8571428571428571,0
115,1,14,1,12,1,1,1,23,28,10,6,0,0,1,0,0,20,0,0,7,11,6,11,0,0,7,7,7,13,0,13,0,0.8571428571428571,1.0,0
116,1,8,1,10,1,1,1,13,27,10,8,1,0,1,0,1,20,0,0,6,13,2,10,0,0,6,12,4,10,0,7,2,0.3333333333333333,0.6666666666666666,0
117,1,8,1,9,1,1,1,13,14,4,4,0,0,1,0,0,20,0,0,5,11,3,10,0,0,5,10,3,10,0,12,0,0.6,0.6,0
118,1,1,2,6,1,1,1,22,28,10,8,0,0,1,0,0,18,0,0,5,12,5,13,2,0,5,6,5,11,0,9,0,1.0,1.0,1
119,1,1,1,9,1,1,1,2,14,5,6,0,0,1,0,0,18,0,0,5,5,5,12,0,0,5,5,5,14,0,11,0,1.0,1.0,1
120,1,8,1,11,1,1,1,1,1,5,6,1,0,1,0,0,21,0,0,6,12,3,11,0,0,6,12,2,11,0,9,0,0.5,0.3333333333333333,0
121,1,1,2,9,1,1,1,13,14,10,8,1,0,1,0,0,19,0,0,5,8,5,10,0,0,5,9,4,11,2,16,0,1.0,0.8,1
122,1,1,1,2,1,1,1,3,14,3,10,0,0,1,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0.0,0.0,0
123,1,1,1,14,1,1,1,23,28,10,10,0,0,1,0,1,19,0,0,5,5,5,12,0,0,5,5,5,14,0,9,0,1.0,1.0,1
124,1,1,1,6,1,1,1,13,28,5,8,1,0,1,0,0,19,0,0,6,15,6,14,0,0,6,13,6,12,0,15,2,1.0,1.0,1
125,1,8,6,13,1,1,1,1,1,5,6,1,0,1,0,0,19,0,0,7,12,5,12,0,0,7,0,0,0,0,13,0,0.7142857142857143,0.0,0
126,1,15,1,6,1,14,1,22,27,10,10,1,0,1,0,0,20,0,1,6,7,6,14,0,1,6,17,5,13,0,12,0,1.0,0.8333333333333334,1
127,1,1,1,16,1,1,1,13,28,10,4,1,0,1,0,1,18,0,0,6,8,5,12,0,0,6,7,5,13,0,9,0,0.8333333333333334,0.8333333333333334,0
128,1,8,3,10,1,1,1,1,29,6,4,1,0,1,0,0,18,0,0,6,7,6,13,0,0,6,6,6,13,0,12,0,1.0,1.0,1
129,1,8,6,12,1,1,1,1,27,9,10,1,0,1,0,0,19,0,0,7,7,7,13,0,0,8,9,8,15,0,12,0,1.0,1.0,1
130,1,1,3,12,1,1,1,13,14,6,9,1,0,1,0,1,18,0,0,7,9,7,13,0,0,8,9,7,13,0,13,0,1.0,0.875,0
131,1,8,2,5,1,1,1,22,27,10,10,1,0,1,0,0,18,0,0,6,6,6,12,0,0,6,6,6,13,0,7,2,1.0,1.0,1
132,1,1,4,9,1,1,1,1,14,5,9,1,0,1,0,0,19,0,0,5,7,5,12,0,0,5,5,5,14,0,8,1,1.0,1.0,1
133,1,8,6,12,1,1,1,1,14,4,4,1,0,1,0,0,19,0,0,7,8,5,14,0,0,7,7,0,0,0,13,0,0.7142857142857143,0.0,0
134,1,14,1,10,1,1,1,23,27,10,8,0,0,1,0,0,20,0,5,9,15,9,11,0,2,7,8,7,11,0,7,2,1.0,1.0,1
135,1,1,1,14,1,1,1,1,28,4,10,0,1,0,0,1,19,0,0,6,7,5,12,0,0,6,9,4,12,0,12,0,0.8333333333333334,0.6666666666666666,0
136,1,8,1,14,1,1,1,13,14,6,6,1,0,1,0,0,20,0,0,5,7,4,12,0,0,5,5,4,11,0,7,2,0.8,0.8,1
137,1,1,1,15,1,1,1,1,1,20,39,0,1,1,0,1,18,0,0,6,6,6,14,0,0,6,6,6,14,0,8,1,1.0,1.0,1
138,1,1,2,12,1,1,1,13,1,5,8,0,0,1,0,1,20,0,0,7,9,5,13,0,0,8,9,7,12,0,11,0,0.7142857142857143,0.875,0
139,1,9,1,12,1,1,1,13,1,5,9,0,0,1,0,0,18,0,0,7,8,7,17,0,0,8,8,8,17,0,13,0,1.0,1.0,1
140,1,1,5,12,1,1,1,22,27,10,10,1,0,1,0,0,19,0,0,7,7,6,12,0,0,7,7,6,12,0,7,2,0.8571428571428571,0.8571428571428571,1
141,1,1,6,15,1,1,1,13,1,5,5,1,0,1,0,1,19,0,0,6,8,6,12,0,0,6,10,5,12,0,12,0,1.0,0.8333333333333334,1
142,1,16,1,9,1,1,1,3,1,4,4,1,1,0,0,0,22,0,0,5,8,0,0,0,0,5,7,0,0,0,8,1,0.0,0.0,0
143,1,1,3,10,1,1,1,1,10,10,11,1,0,1,0,1,19,0,0,6,7,6,11,0,0,6,6,6,11,0,12,0,1.0,1.0,1
144,1,1,3,12,1,1,1,13,14,10,8,1,0,1,0,1,19,0,0,7,10,7,13,0,0,8,11,8,12,0,15,2,1.0,1.0,1
145,1,8,5,16,1,1,1,22,28,6,7,1,0,1,0,1,19,0,0,6,10,5,12,0,0,6,9,5,10,0,9,0,0.8333333333333334,0.8333333333333334,1
146,1,1,4,11,1,1,1,10,14,10,10,1,0,1,0,0,19,0,0,5,10,0,0,0,0,5,10,0,0,0,7,2,0.0,0.0,0
147,1,8,1,11,1,1,1,1,27,10,11,1,0,1,0,0,20,0,0,6,8,5,11,0,0,6,12,3,11,0,7,2,0.8333333333333334,0.5,0
148,1,1,1,9,1,1,1,3,14,3,11,0,0,1,0,0,18,0,0,5,10,5,13,0,0,5,9,5,14,0,13,0,1.0,1.0,1
149,1,1,1,12,1,1,1,1,14,10,10,0,0,1,0,1,20,0,0,7,8,6,13,0,0,8,9,7,14,0,11,0,0.8571428571428571,0.875,1
150,1,1,1,2,1,1,1,3,27,3,9,1,0,1,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.0,0.0,0
151,1,1,1,6,1,1,1,1,28,5,8,0,0,1,0,0,19,0,0,5,6,5,12,0,0,5,6,5,13,0,7,2,1.0,1.0,1
152,1,8,1,16,1,1,1,23,28,8,7,1,0,1,0,0,18,0,0,6,11,3,12,0,0,6,10,5,10,0,9,0,0.5,0.8333333333333334,0
153,1,1,1,16,1,1,1,22,27,10,10,1,0,1,0,0,18,0,0,6,7,6,13,0,0,6,8,5,11,0,7,2,1.0,0.8333333333333334,1
154,1,14,1,16,1,1,1,3,27,3,6,1,0,1,0,0,21,0,0,6,10,3,12,0,0,6,12,3,10,0,9,0,0.5,0.5,0
155,1,1,1,16,1,1,1,23,27,7,7,0,0,1,0,0,19,0,0,6,8,6,12,0,0,6,10,4,11,0,7,2,1.0,0.6666666666666666,0
156,1,1,1,9,1,1,1,23,28,10,10,0,0,1,0,1,18,0,0,5,5,5,10,0,0,5,5,5,11,0,12,0,1.0,1.0,1
157,1,8,2,10,1,1,1,1,27,8,10,1,0,1,0,1,18,0,0,6,8,6,12,0,0,6,7,6,11,0,12,3,1.0,1.0,1
158,1,1,3,10,1,1,1,13,1,10,11,1,0,1,0,0,20,0,0,6,10,4,11,0,0,6,9,6,11,0,9,0,0.6666666666666666,1.0,1
159,1,12,1,3,0,1,1,1,14,7,9,0,0,1,0,1,24,0,0,6,11,5,11,0,0,6,9,5,12,0,11,0,0.8333333333333334,0.8333333333333334,1
160,1,1,1,14,1,1,1,13,1,5,2,0,0,1,0,0,19,0,0,6,6,6,13,0,0,6,9,6,13,0,10,1,1.0,1.0,0
161,1,1,1,12,1,1,1,13,27,10,8,1,0,1,0,1,18,0,0,7,9,7,12,0,0,8,12,7,12,0,15,2,1.0,0.875,1
162,1,1,2,12,1,1,1,13,14,10,10,1,0,1,0,0,18,0,0,7,8,7,14,0,0,8,8,8,15,0,15,2,1.0,1.0,1
163,1,8,5,16,1,1,1,10,10,5,5,1,0,1,0,0,21,0,0,6,13,4,11,0,0,6,10,3,11,0,10,1,0.6666666666666666,0.5,0
164,1,8,2,14,1,1,1,1,14,6,5,0,0,1,0,0,19,0,0,5,5,5,14,0,0,5,5,5,14,0,7,2,1.0,1.0,1
165,1,8,1,15,1,1,1,13,27,8,8,0,0,1,0,1,19,0,0,6,6,6,12,0,0,6,7,6,13,0,15,2,1.0,1.0,1
166,3,12,1,4,1,1,1,1,27,7,7,0,1,1,0,0,47,0,0,1,1,0,0,0,0,6,0,0,0,0,8,1,0.0,0.0,0
167,1,8,3,10,1,1,1,13,14,8,9,0,0,1,0,0,19,0,0,6,10,5,11,0,0,6,12,4,11,0,13,0,0.8333333333333334,0.6666666666666666,1
168,1,12,1,12,1,3,1,2,2,2,2,0,0,1,0,0,29,0,1,8,8,7,14,0,1,8,8,7,14,0,12,3,0.875,0.875,1
