Application mode,Application order,Course,Father's qualification,Mother's occupation,Father's occupation,Displaced,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),GDP,units_approved_rate_1st,units_approved_rate_2nd,Target_Graduate
1,1,11,1,6,9,0,0,1,1,0,19,0,0,0,0,0,0,0,0,0,0,-3,0.0223321735499382,0.025433228999623202,1
8,1,11,28,8,2,1,0,1,1,0,18,6,11,6,13,0,0,6,10,6,10,0,0.6594049199341969,0.3726294808092419,0
1,2,12,1,5,8,1,0,1,0,1,18,8,8,9,13,0,0,8,9,8,13,1,0.8556391231937791,0.8259576865731822,1
8,4,5,28,10,9,1,0,1,0,1,19,6,6,6,15,0,0,6,6,6,13,1,1.0058725002763684,0.9983838249133162,1
4,1,3,24,12,1,0,0,1,1,0,34,5,12,0,0,0,0,5,6,0,0,0,-0.00980016100330558,0.0013333738479109347,0
12,1,14,14,10,11,0,0,1,0,0,19,7,8,5,12,0,0,7,10,3,12,0,0.6283063463366012,0.3675403721148725,0
1,1,15,27,5,11,0,0,1,0,0,19,6,0,0,0,0,0,6,10,0,0,1,-0.0036110241107699228,-0.015231510630890586,1
12,1,14,1,3,4,1,0,1,1,0,31,5,6,5,14,0,0,5,5,0,0,3,1.00234077854708,0.031109311453753355,0
1,1,7,1,5,3,1,0,1,1,0,24,5,5,0,0,0,0,5,10,0,0,0,-0.005411827564961479,-0.006939263639650105,0
1,1,9,3,5,7,1,0,0,1,0,19,0,0,0,0,0,0,3,0,0,0,0,0.014552986899257108,-0.0035054802622329724,0
12,1,14,24,1,2,0,0,1,0,0,26,6,13,3,12,0,0,6,12,3,12,1,0.20536555759581113,0.43999952791211633,0
1,3,12,14,6,8,1,0,1,0,0,19,8,8,6,14,0,0,8,10,8,13,0,1.0028042967947377,0.9964148386625342,1
1,3,14,1,6,8,1,0,1,0,0,21,6,7,6,13,0,0,7,9,5,13,0,1.0027692158477828,0.997004778079493,0
12,1,15,27,10,6,0,0,1,0,0,38,6,9,4,11,0,0,6,6,0,12,1,0.6554596205699932,0.5408814203551313,0
14,2,12,27,4,6,0,0,1,0,1,19,8,13,7,12,0,0,8,8,8,13,2,0.8332789651839926,0.8673764103536066,1
12,1,9,27,5,12,1,0,0,0,0,26,5,6,0,0,0,0,5,5,0,0,-1,0.020617586858170157,0.025601935835475476,0
1,1,15,1,13,1,1,0,0,1,0,23,5,5,0,0,0,0,5,5,0,0,0,0.03666626337974671,0.03245007023962644,0
1,5,2,1,5,4,1,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,-0.0031408499036489493,-0.01135743309008418,0
1,3,11,1,10,8,1,0,1,0,1,19,6,6,6,13,0,0,6,8,6,13,2,1.0030882764426539,1.000873525396568,1
1,2,14,1,1,6,0,0,1,0,1,18,6,6,6,14,0,0,6,6,6,14,0,0.997933107092249,1.0000458155561676,1
1,1,12,28,10,8,1,0,1,0,1,23,8,9,7,14,0,0,7,11,8,12,1,0.8271480249977488,0.9892587078789333,1
1,1,17,1,10,10,0,0,1,1,1,24,5,5,5,13,0,0,5,6,5,15,0,0.8120535156376493,0.9873268076241756,1
1,1,9,27,10,4,0,0,0,1,0,37,5,5,0,0,2,0,5,5,0,0,-3,0.01712687461264082,-0.0037686542713596515,0
1,1,15,27,5,9,0,0,1,0,0,19,6,6,0,0,0,0,7,9,0,13,1,0.011350788019696136,0.016948995298323388,1
8,1,5,1,5,10,1,0,1,0,0,21,8,12,6,11,0,0,7,9,3,13,-3,0.8456711661626981,0.8372780475213364,0
1,1,11,27,6,8,1,0,1,1,1,18,6,7,6,12,0,0,6,10,6,12,3,0.6251147779280409,0.4039353826421325,0
1,1,14,27,10,10,0,0,1,1,0,19,6,7,6,12,0,0,6,7,5,12,0,1.0063509447677117,0.9994630472498943,1
12,1,11,14,10,9,0,0,1,1,0,43,6,12,0,10,0,0,5,7,0,0,-1,0.02026852002485898,0.00679871359095987,0
1,1,12,27,5,6,1,0,1,0,1,21,8,12,7,14,0,0,8,11,8,13,0,0.8278121032643402,0.9991335856983563,1
17,1,12,27,10,2,0,0,1,0,1,27,11,16,2,12,0,5,12,14,3,13,-3,0.4848792996076647,0.4104244761784799,0
4,1,9,27,10,10,1,0,1,1,1,33,5,5,0,0,0,0,5,8,0,0,-3,-0.0006501708423036409,0.003883701995100399,1
15,1,7,14,10,9,1,0,1,1,0,25,5,11,2,12,0,0,5,14,3,10,1,0.6422206643913205,0.35434483635940073,0
15,1,14,27,2,11,0,0,1,1,0,29,6,10,5,13,0,0,6,9,5,12,2,0.6676341479654337,0.5150600782694192,0
8,5,12,28,8,9,1,0,1,0,1,18,8,8,10,13,0,0,8,12,8,12,0,0.8271651490678981,1.007452332427106,1
1,1,9,27,10,4,0,0,1,1,1,44,5,11,2,12,0,0,5,10,3,13,0,0.6583345750206493,0.30504618652562676,1
1,5,12,1,6,3,1,0,1,0,0,19,7,11,7,12,0,0,8,9,7,13,1,0.647443592884532,0.8234867328651023,0
1,3,9,27,6,10,1,0,1,0,0,18,5,8,2,10,0,0,5,8,3,13,-3,0.4932303664006065,0.8247349688870231,0
1,2,10,28,6,10,1,0,1,0,1,19,6,8,6,12,0,0,6,10,6,12,1,1.0047356537960792,1.0069731382638425,1
1,1,2,14,5,4,1,0,0,1,0,23,0,0,0,0,0,0,0,0,0,0,0,0.014754397350215243,0.017235744372254853,0
8,2,5,28,5,6,1,0,1,1,0,18,6,6,6,13,0,0,5,6,6,13,1,0.9974685336656192,0.9989307627512964,1
4,1,14,1,29,7,0,0,1,1,0,18,6,8,5,11,0,0,6,9,5,13,0,1.0039903578870246,0.835393340294098,1
1,3,2,1,6,5,1,0,1,1,0,19,0,1,0,0,0,0,0,0,0,0,0,0.0026850811255828525,-0.016600748354691944,0
12,1,10,27,5,11,1,0,1,1,0,24,6,0,0,0,0,0,6,0,0,0,1,-0.0012312053508116347,-0.005742931876591185,0
12,1,3,27,1,1,0,0,1,1,0,35,3,5,0,0,0,0,4,10,0,0,1,-0.009722529118518487,0.024389663780139344,0
1,5,11,14,10,7,1,0,1,0,1,18,6,6,6,11,0,0,6,6,6,13,1,1.0030032898302026,1.0154803457173238,1
14,1,10,24,8,1,0,0,1,0,0,28,6,12,5,11,0,0,6,17,5,13,0,0.8453246246343991,0.8108199819570817,0
14,1,5,2,5,9,0,0,0,0,0,25,5,5,0,0,0,0,5,5,0,0,3,-0.004565921587203682,-0.006967323746939715,0
12,1,9,27,3,9,0,0,0,0,0,25,5,7,5,13,0,0,5,9,5,12,0,0.6377277870077637,0.8576786567082973,0
8,1,14,14,10,11,0,0,1,0,1,18,5,6,5,14,0,0,5,6,5,14,-3,0.9937831837476675,1.0033527742523753,1
14,1,2,27,5,5,1,0,1,0,1,20,0,0,0,0,0,0,0,0,0,0,-1,0.026888251984304567,-0.016792345598622343,0
1,1,6,28,5,10,1,0,1,0,0,19,5,12,2,10,0,0,5,8,2,10,1,0.639648535574128,0.4121880031496879,0
1,1,10,28,8,11,0,0,1,0,0,19,6,9,6,11,0,0,6,10,6,13,0,0.8345344888194437,1.002129471948779,1
8,1,12,1,5,7,0,0,1,0,0,18,7,12,4,14,0,0,6,10,3,14,0,0.8302923710339909,0.8353614294288115,0
8,1,2,2,5,11,1,0,1,0,0,20,0,0,0,0,0,0,0,0,0,0,3,0.015304887808209829,0.002430683074937344,0
1,1,9,27,10,12,0,0,1,0,0,24,5,5,4,10,1,0,5,8,3,11,0,0.43532886791111636,0.2664600726661077,0
1,1,10,27,8,10,1,0,1,1,0,19,6,15,6,14,0,0,6,7,6,13,-4,0.9980950490810806,0.9986447359169783,1
1,1,16,28,8,6,0,0,1,0,1,18,6,7,6,13,0,0,6,7,6,12,0,0.9979611363927963,1.0016064848017436,1
14,1,2,27,10,8,1,0,1,0,1,26,11,14,9,11,0,5,10,12,6,13,-1,1.0031311790914337,1.0109951391525673,1
6,1,5,27,8,5,1,0,1,1,1,26,6,12,6,12,0,0,6,10,6,14,2,1.0027815688129949,1.0064940454003923,1
1,2,15,27,6,6,1,0,0,0,1,22,6,0,0,0,0,0,0,0,0,0,-4,0.01819271681208439,0.01375841613154671,0
15,1,11,1,5,3,1,1,0,1,0,25,6,10,0,0,0,0,6,13,0,0,1,0.009878284338294956,-0.0021966041859775073,0
12,1,3,1,10,36,0,0,0,1,0,24,6,14,2,12,0,1,6,12,3,10,0,0.5066973801649415,0.46345312005848227,0
1,1,9,14,5,11,0,0,1,1,0,26,5,8,2,11,0,0,5,6,3,10,-3,0.21796586453843508,-0.010416214005483149,0
14,1,12,28,10,10,0,0,1,0,1,18,6,12,6,11,0,0,7,8,3,11,0,0.658811095426717,0.8380880294286024,1
1,1,2,27,10,10,1,0,1,0,1,22,8,12,8,13,0,0,8,8,8,13,-3,0.8157826126198796,1.006817031414112,1
1,1,10,14,10,4,1,0,1,0,0,18,6,7,6,12,0,0,6,6,6,14,0,1.003930090855437,1.0062189128046355,1
1,1,2,3,5,11,1,0,0,1,1,23,0,0,0,0,0,0,0,-1,0,0,1,0.002529934821725688,0.01538476795696855,0
1,5,12,1,4,6,1,0,1,0,0,21,8,11,7,13,0,0,8,8,7,13,0,0.8790583097188185,0.8673796457140335,1
14,1,5,1,3,9,0,0,1,1,0,19,6,5,2,12,0,0,6,12,3,10,3,0.48806951880612265,0.5218457795375473,0
8,4,10,28,6,9,1,0,1,0,1,18,6,6,6,13,0,0,6,10,6,13,0,1.0013035379586694,1.0168918066688406,1
12,1,6,3,6,9,0,0,1,1,0,18,6,7,6,11,0,0,5,9,5,14,0,0.9995000766598601,0.48265624950974195,1
12,3,10,27,29,10,0,0,1,0,0,30,7,8,6,13,0,1,7,9,5,15,0,0.9967659248990309,0.9967019252118521,1
1,1,9,27,10,6,1,0,1,0,1,18,5,8,6,14,0,0,5,8,5,12,-1,0.992300000023067,0.9922284830472178,1
14,1,2,27,2,3,1,1,1,0,0,25,14,6,5,15,0,11,11,19,8,13,0,0.9979207916657457,1.0041528789343162,1
14,1,2,1,3,3,0,0,1,1,0,30,0,0,0,0,0,0,4,0,0,0,2,0.012273870949594921,-0.0072477810882882335,0
18,1,4,14,5,29,0,0,1,1,0,27,15,13,6,12,0,9,12,12,5,12,-4,1.0130955873310288,1.003531613317453,1
1,1,8,1,5,8,0,0,1,0,0,24,7,10,6,12,0,0,7,7,6,13,0,1.0004209591104793,1.0017515052694217,1
1,1,13,27,10,10,0,0,1,1,0,37,5,13,2,12,0,0,8,10,0,0,-3,0.02534120873056211,-0.006252149567173358,0
12,1,12,27,10,5,0,0,1,1,0,23,5,8,2,14,0,0,5,8,3,14,1,0.9950009841593233,0.24220035523877106,0
14,1,3,27,7,1,0,0,1,0,1,19,6,9,5,11,0,0,6,10,5,12,0,0.8285434933243084,0.8441546596942067,1
1,1,9,27,6,9,1,0,1,0,1,18,5,8,5,12,0,0,5,8,5,12,-3,0.8558435083317926,0.855658177228623,1
1,5,10,28,29,9,1,0,1,1,1,19,5,12,6,11,0,0,5,6,5,14,-3,0.9937337691567314,0.8598780451985707,0
8,1,9,27,10,10,1,0,1,1,0,20,5,9,5,12,0,0,5,8,5,11,-3,0.9905897439677195,0.8469475010837308,0
8,2,2,1,5,8,1,0,0,0,1,17,0,0,0,0,0,0,0,0,0,0,-3,0.02075229259033121,0.006710800112605136,0
1,1,12,27,5,9,1,0,1,0,1,18,8,8,7,14,0,0,8,7,8,15,-3,0.858877105317815,0.8400485848342234,1
1,1,14,1,5,3,0,0,1,1,0,20,7,8,7,11,0,0,7,9,3,13,2,0.6603155175409716,0.36063313371181654,0
12,1,3,24,1,1,0,0,1,0,0,40,6,5,2,11,0,0,6,10,0,0,-3,0.2738257578815744,-0.0032855308114162632,0
12,1,3,27,13,1,0,0,1,1,0,42,6,15,3,11,0,2,6,10,0,0,0,0.6904169583376755,0.5440056103411427,0
16,1,14,14,5,4,0,0,1,0,1,37,6,5,2,14,0,0,6,5,0,0,1,1.008625787095295,0.01139877608761166,1
1,1,7,27,12,1,0,0,0,1,0,21,5,5,2,10,3,0,5,9,3,10,0,0.3850955995362516,0.315281229078272,0
1,5,15,27,6,3,1,0,1,1,0,18,6,6,6,13,0,0,6,7,6,13,2,1.0032607497455484,0.9995354428979121,1
1,2,15,27,8,2,0,0,0,0,0,32,6,6,0,0,0,0,6,6,0,0,-3,0.008428012635664964,-0.0026575696118977324,0
1,1,9,3,6,7,1,0,1,1,0,22,6,11,4,10,0,0,6,12,2,10,0,0.659964330607123,0.3480641829329395,0
1,2,12,28,6,11,1,0,1,0,1,23,6,8,6,13,0,0,6,7,6,12,0,1.0034175216304249,1.00135857998427,1
8,1,7,27,10,5,1,1,0,1,1,24,6,11,0,0,0,0,7,10,0,0,1,-0.004755082230154369,-0.01744989888281266,0
8,4,12,1,5,7,1,0,1,0,1,19,8,9,7,13,0,0,8,12,7,13,0,0.8644380213795743,0.8298980158810447,1
1,3,12,28,8,3,1,0,1,1,0,21,5,12,4,12,0,0,8,10,2,10,1,0.6682106531743089,0.18901955614202323,0
14,2,12,27,5,4,0,0,1,0,0,23,7,7,6,14,0,0,7,7,6,13,-3,1.0071425712921616,1.0011158180508888,1
1,1,12,14,4,11,0,0,1,0,0,21,7,9,7,11,0,0,7,10,5,14,2,0.8719096779046689,0.8418803932970936,0
8,5,9,1,5,9,1,0,1,0,0,19,5,6,3,12,0,0,5,10,3,10,3,0.6071696803634795,0.6052179929721192,0
8,1,7,14,10,10,1,0,1,1,1,19,6,8,6,11,0,0,6,8,5,13,1,0.6537225581049745,0.8286041834399446,1
1,1,10,27,10,10,1,0,1,1,0,18,6,10,6,10,0,0,6,7,6,13,1,0.9989584001335002,0.8325204629591278,1
1,1,8,1,12,8,0,0,1,1,0,19,6,14,2,10,0,0,6,10,0,0,3,0.46139443977556066,-0.028396022169148372,0
1,1,12,28,5,11,1,0,1,0,0,21,8,8,7,12,0,0,7,12,7,13,-3,0.6856261376213438,0.8423745739217355,0
1,5,12,1,5,3,1,0,1,1,0,19,7,5,0,14,0,0,7,9,3,13,0,0.006726280425894412,0.43005481349594715,0
8,5,10,1,5,6,1,0,1,0,0,18,6,6,6,11,0,0,6,9,6,12,0,0.854506112192414,0.859655269298854,1
1,1,9,28,10,6,0,0,1,0,1,22,8,14,9,14,0,11,12,8,5,13,-4,0.25021832496937707,0.8327733948207239,1
1,5,12,1,5,9,1,0,1,0,1,19,8,8,7,13,0,0,8,9,8,13,-3,0.8526333015747533,0.8351887130679156,1
1,1,9,27,13,9,0,0,1,0,0,30,6,9,0,0,0,0,5,7,0,0,-3,0.006106306032194259,0.0009386431646684571,0
8,3,5,1,3,7,0,1,0,1,0,19,6,11,6,12,0,0,6,9,3,12,2,0.8564297870946304,0.4199374647342891,0
1,1,14,1,6,4,1,1,1,1,0,20,6,6,2,14,0,0,6,7,3,12,1,1.0012483157029393,0.4010955216659413,0
1,1,9,1,12,4,0,0,1,1,0,24,5,5,2,14,0,0,5,8,3,14,1,0.5648279765605067,0.7723443425221976,0
1,1,9,27,8,12,0,0,1,1,0,28,5,5,0,0,0,0,5,5,0,0,-3,0.013003433611725915,0.00024510734437821946,0
1,1,9,27,10,2,1,0,1,1,1,20,5,8,2,10,0,0,5,11,3,10,0,0.6300011966459818,0.24470120198397033,0
1,2,12,27,10,10,1,0,1,0,1,28,6,6,6,11,0,0,5,10,5,14,0,1.001123058331756,0.9974257912320641,1
13,3,7,27,6,4,1,0,0,1,0,20,5,5,0,0,0,0,5,5,0,0,-3,0.0008007589153490117,0.005408492993086897,0
8,1,12,1,8,9,1,0,1,0,0,21,7,15,7,11,0,0,8,13,7,13,2,0.6398276439046066,0.5260939786152624,0
12,1,3,27,10,3,0,0,1,0,0,52,3,10,0,0,0,0,6,10,0,0,1,0.031450883907870215,0.000594880890791825,0
1,5,14,14,6,9,1,0,1,0,1,18,5,5,5,10,0,0,5,7,3,14,-3,1.0011411879923278,0.8284167821260482,0
8,2,6,28,6,8,1,0,1,0,1,19,5,8,5,11,0,0,5,9,4,13,2,0.6436406378319134,0.8475652244938731,1
14,1,9,27,10,10,1,0,0,1,1,27,5,8,1,10,0,0,5,8,3,13,-3,0.6267668211680416,0.18903142181518062,1
1,5,12,1,6,9,1,0,1,1,0,19,7,7,7,13,0,0,8,9,8,13,2,0.9994984981358354,0.8584334567679488,1
14,1,9,27,10,10,1,1,0,1,0,21,5,13,1,0,1,0,5,11,0,0,1,0.1594196053618795,-0.017507779422474657,0
8,3,6,1,6,8,1,0,1,0,0,18,6,8,6,14,0,0,5,6,5,14,-3,0.8300916756796975,0.8109457343272735,0
1,1,14,2,5,8,1,0,1,1,0,18,6,6,6,12,0,0,6,9,6,12,2,0.9993195378241655,0.9999183139967085,1
1,1,9,14,5,4,1,1,0,1,0,23,7,12,4,13,0,0,7,11,3,10,1,0.6940168104675206,0.336678096038919,0
1,4,7,1,5,6,1,0,1,0,0,19,5,8,7,14,0,0,8,8,8,14,0,0.9898452906320422,1.0014201345857214,1
12,1,3,1,1,1,0,0,1,0,0,28,7,12,6,14,0,2,7,9,6,13,0,0.8491069634588666,1.0015515474954964,0
8,2,5,27,6,8,0,0,1,0,1,21,5,8,5,11,0,0,5,8,5,13,0,0.8274016860158865,0.8594106992490655,1
1,1,6,1,6,11,0,0,1,0,1,19,6,12,5,12,0,0,6,7,4,12,-3,0.8399108463981511,0.8484771554665764,0
1,1,9,27,6,10,1,0,1,0,1,18,5,5,5,13,0,0,5,5,5,13,1,0.5930995601367087,0.8660534503478434,1
1,2,12,14,10,9,0,0,1,0,1,23,8,8,7,13,0,0,8,11,7,13,-3,0.8586107794755345,0.8322507153013563,1
1,1,2,14,6,7,1,0,1,1,0,20,10,13,5,10,0,0,6,12,6,13,0,0.8433294791062249,0.8505278551182283,1
14,1,12,27,10,10,1,0,0,1,1,29,7,16,2,11,0,0,8,10,3,10,0,0.6537891348075231,0.358905603744382,0
14,1,12,27,5,10,0,0,1,0,0,29,8,13,10,11,0,9,8,12,8,13,-3,0.8553546998408714,0.8692379833038871,1
8,2,11,28,8,6,1,0,0,0,0,18,6,0,2,0,0,0,6,0,0,0,1,-0.01083005298472672,-0.0016186507465146007,0
1,1,14,27,10,8,1,0,1,0,0,18,6,10,2,11,0,0,6,10,4,11,1,0.6365928597672929,0.8297626744576543,0
12,1,14,27,12,10,0,0,1,0,0,23,5,11,5,11,0,0,5,10,4,11,2,0.637434993568979,0.6363407798615389,0
1,2,12,27,10,6,1,0,0,0,1,18,8,12,7,13,0,0,8,10,7,13,-3,0.8800159368379012,0.8181354239347404,1
1,4,12,27,5,9,1,0,1,0,1,18,8,8,7,13,0,0,8,8,8,13,0,0.8442323254584976,0.8373177143450854,1
12,1,11,27,10,9,0,0,0,1,0,23,5,5,0,0,0,0,5,5,0,0,-1,-0.0017660654033315596,-0.002566858391241775,0
15,1,4,1,6,11,0,0,1,1,0,31,7,6,6,12,0,0,6,5,3,13,2,1.0000137288979436,1.0060527365999579,0
14,1,5,1,5,4,0,0,1,0,0,27,5,5,5,14,0,0,5,6,6,14,2,0.9990779579343068,0.9946195511827891,1
14,1,6,27,20,44,0,0,1,1,0,23,5,5,5,13,0,0,5,5,5,12,1,0.992443821736004,1.0049341798383746,1
7,2,16,14,10,9,1,0,1,0,1,19,6,6,6,12,0,0,6,9,6,13,0,1.005706766195448,0.8755385971088112,1
1,1,9,27,10,6,0,0,1,1,0,24,5,5,5,11,0,0,5,5,5,14,0,0.9959870840587247,0.997597067920723,1
8,4,5,27,10,10,0,0,1,0,1,19,6,6,6,12,0,0,6,9,6,13,1,1.007477237069452,1.0083210450937252,1
1,2,2,28,5,11,1,0,1,0,0,19,0,0,0,0,0,0,0,0,0,0,3,0.010975642479833972,0.006328687088727375,0
1,1,12,1,10,11,0,0,1,0,1,19,7,8,6,12,0,0,7,9,6,15,0,0.866623055961965,0.847025113486341,1
1,1,16,14,5,8,1,0,1,0,0,19,6,7,6,12,0,0,6,7,6,12,0,1.002773849830727,0.8591303154992376,0
12,5,14,1,5,9,0,0,0,0,0,20,5,6,0,0,0,0,5,5,0,0,2,0.019851836850961813,0.015376490256228125,0
1,4,14,1,5,4,0,0,1,1,0,18,5,6,0,0,0,0,5,6,0,0,3,0.01005256745417035,0.015412348959099546,0
1,1,11,28,10,8,0,0,1,1,0,18,6,0,0,0,0,0,6,0,0,0,-1,-0.009924129271120559,0.022208638003086534,0
1,1,12,1,5,8,1,0,1,0,0,18,7,7,7,14,0,0,8,10,8,12,0,0.8444712768216132,0.8615169199226403,1
6,1,9,27,10,10,1,0,1,1,1,35,6,8,6,11,0,0,5,5,5,12,0,0.9968830804784339,1.0018359659074914,1
8,1,17,27,10,10,1,0,1,1,0,28,5,5,5,14,0,0,5,8,5,14,3,0.9824428634209045,0.9922060704634791,1
1,3,12,1,10,8,0,0,1,0,1,21,8,8,6,12,0,0,8,8,6,13,0,1.0028555187038615,1.004537808632862,1
13,2,2,27,10,10,1,0,0,0,0,19,5,5,2,0,0,0,5,13,0,0,0,-0.018347648972656276,-0.04353148269091072,0
1,1,12,27,10,9,0,0,1,0,0,18,7,8,7,13,0,0,8,7,0,14,1,0.48013103202738083,0.5184227933671343,0
4,1,3,27,16,29,0,0,1,0,0,23,16,19,20,12,0,12,13,15,11,11,0,0.835369213524332,1.0034138419240415,1
12,1,3,1,8,3,0,0,1,0,0,26,6,6,0,0,0,0,6,5,0,0,0,0.029042082293624448,0.02411056338824006,0
12,1,12,14,5,11,0,0,1,1,1,39,7,9,6,12,0,0,8,9,6,13,0,0.876080862274054,0.8375060410093472,1
14,4,9,28,5,6,1,0,1,1,0,23,5,5,2,13,0,0,5,6,5,14,3,0.9840470357683153,0.9819458114131029,1
1,1,9,27,10,8,0,0,1,0,1,20,6,15,6,11,0,0,10,10,6,12,0,0.6427026199670566,0.8129714862845193,1
1,1,5,3,5,3,0,0,1,0,1,19,6,6,6,13,0,0,6,7,6,13,-3,1.0015495966856962,1.0069241720827764,1
9,1,9,1,6,9,0,0,1,0,0,22,5,6,1,10,0,0,5,5,5,13,0,1.0037573496626677,0.9962797380942073,0
9,1,12,27,10,10,1,1,1,1,1,22,8,14,5,12,0,0,12,14,7,12,-3,1.0026972544846882,0.8462080301493543,1
1,5,15,28,29,11,0,0,1,0,1,18,6,6,6,12,0,0,6,6,6,12,2,1.0026177295837053,1.007980482027516,1
1,3,6,1,20,6,1,0,0,0,1,19,5,10,5,14,0,0,5,9,5,12,3,1.0002251286685548,0.8166893959551449,0
12,1,3,27,1,1,0,0,1,0,0,36,6,14,5,12,0,0,17,11,5,14,1,0.8651205142318034,0.8209946623199209,1
1,1,9,1,6,7,0,0,1,1,0,23,5,8,6,13,0,0,5,10,5,13,3,0.8176642144956322,0.9966637484202033,1
1,1,9,28,5,4,1,0,1,1,1,19,8,12,5,10,0,0,5,11,6,13,2,0.8391603991455077,0.8181419650795728,1
1,3,12,27,10,11,1,0,1,1,1,19,8,8,7,12,0,0,8,8,7,12,-3,0.820761837408522,0.8441726053809794,0
1,1,11,27,10,10,0,0,1,1,1,18,6,7,6,12,0,0,6,9,6,12,0,1.0050764933258878,1.009526702427912,1
16,1,2,3,5,3,1,0,1,1,0,20,6,12,2,12,0,0,6,13,2,13,1,0.6504895348376779,0.5214441177619571,0
14,1,9,27,10,10,0,0,1,0,1,24,8,8,9,11,0,0,8,10,8,13,-1,0.8133945591494408,0.853152232124018,1
1,3,7,2,6,4,1,0,1,1,0,19,5,6,5,14,0,0,5,5,5,13,3,1.0002252658554718,0.8264463875585398,0
1,1,6,1,5,4,1,0,1,1,0,18,6,6,6,12,0,0,6,6,0,13,2,1.0028681835816158,1.0027125191413049,0
1,2,15,27,10,9,1,0,1,0,1,19,6,5,5,12,0,0,6,5,5,12,3,0.2671935755439761,0.8189964357818258,1
14,1,15,28,5,4,1,0,1,0,1,18,6,8,5,11,0,0,6,10,4,14,0,1.0071133327333066,0.997111591058609,1
1,1,11,1,5,9,1,0,1,1,0,22,4,0,0,0,0,0,0,0,0,0,1,0.00833626510424755,0.020872186527139427,0
14,2,17,27,10,10,1,0,1,0,0,38,6,8,4,10,0,0,6,11,2,13,-3,0.6816636160151366,0.8340810723053155,0
4,1,9,24,5,11,0,1,0,0,0,21,5,13,1,10,0,0,5,5,0,0,0,0.23723996265953648,0.4183050074430202,0
1,1,14,3,6,4,1,0,1,0,0,19,6,11,5,14,0,0,5,11,3,12,0,0.8445828907595604,0.9917114311483468,0
12,1,3,27,5,9,0,0,0,0,0,32,3,5,0,0,3,0,5,5,0,0,0,0.017863227891026016,-0.0021753576108810924,0
