Unnamed: 0,Application mode,Application order,Course,Father's qualification,Mother's occupation,Father's occupation,Displaced,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),GDP,units_approved_rate_1st,units_approved_rate_2nd,Target_Graduate
29,8,2,12,3,2,11,1,0,1,1,0,19,7,9,6,12,0,0,7,7,6,13,0,0.8571428571428571,0.8571428571428571,0
30,15,1,4,5,5,3,0,0,1,1,0,21,6,15,5,11,0,0,6,17,5,10,0,0.8333333333333334,0.8333333333333334,0
31,16,1,5,3,16,22,1,0,1,1,0,20,6,7,6,12,0,0,6,9,4,13,3,1.0,0.6666666666666666,1
32,1,1,9,1,5,7,0,0,0,1,0,18,5,9,3,11,0,0,5,8,2,13,3,0.6,0.4,0
33,9,1,3,1,10,6,1,0,1,0,0,19,6,6,6,12,0,0,6,8,6,14,1,1.0,1.0,1
34,1,1,17,27,4,10,0,0,1,1,0,34,5,6,5,12,0,0,5,9,5,13,0,1.0,1.0,1
35,12,1,1,27,10,7,0,1,0,1,0,37,7,7,0,0,0,0,7,7,1,10,3,0.0,0.14285714285714285,0
36,12,1,7,27,1,1,1,0,1,1,0,43,5,0,0,0,0,0,5,0,0,0,0,0.0,0.0,0
37,14,1,9,27,7,7,0,0,1,0,0,55,5,10,1,10,0,0,5,8,2,12,0,0.2,0.4,0
38,12,1,17,14,10,4,1,0,1,0,0,39,5,8,5,11,0,0,5,5,5,11,0,1.0,1.0,1
39,15,1,8,4,4,7,0,1,0,0,0,20,6,13,3,11,0,1,6,11,3,12,1,0.5,0.5,0
40,1,5,15,3,3,3,0,1,1,0,0,18,6,6,4,12,0,0,5,5,0,0,-1,0.6666666666666666,0.0,0
41,1,2,9,14,3,8,1,0,1,0,0,22,5,5,5,14,0,0,5,5,5,15,3,1.0,1.0,1
42,1,6,12,3,3,3,1,0,1,0,0,22,7,9,5,13,0,0,8,9,7,14,2,0.7142857142857143,0.875,1
43,8,1,15,28,6,6,0,0,0,0,0,20,6,7,4,13,0,0,6,7,5,13,1,0.6666666666666666,0.8333333333333334,0
44,12,1,17,27,10,10,0,0,1,0,0,29,5,0,0,0,0,0,5,0,0,0,0,0.0,0.0,0
45,8,1,17,28,5,6,0,0,1,0,0,24,5,9,2,11,0,0,5,11,3,14,0,0.4,0.6,0
46,8,2,10,14,10,10,1,0,1,0,0,18,6,6,6,11,0,0,6,8,5,13,2,1.0,0.8333333333333334,1
47,8,6,12,14,8,8,1,0,1,0,1,22,7,8,6,13,0,0,8,9,7,13,2,0.8571428571428571,0.875,1
48,15,1,3,14,10,10,0,0,1,0,1,21,6,6,6,11,0,2,6,7,6,13,1,1.0,1.0,1
49,1,1,10,28,10,10,0,0,1,0,1,19,6,7,5,12,0,0,6,7,6,12,-1,0.8333333333333334,1.0,1
50,12,1,11,28,10,8,0,0,1,0,1,24,6,6,6,13,0,0,6,6,6,14,1,1.0,1.0,1
51,1,1,12,28,7,7,1,0,1,0,1,19,8,10,6,11,0,0,8,10,6,11,-3,0.75,0.75,0
52,1,1,15,14,8,8,1,0,1,0,1,20,6,11,4,14,0,0,6,12,3,11,-3,0.6666666666666666,0.5,0
53,1,3,8,27,12,12,0,0,1,0,0,19,5,7,5,14,0,0,5,5,5,15,0,1.0,1.0,1
54,12,1,17,28,10,10,0,0,1,0,0,27,5,12,5,10,0,0,5,10,5,11,-3,1.0,1.0,0
55,1,1,12,14,6,6,1,0,1,0,0,18,7,9,7,13,0,0,8,10,8,13,-4,1.0,1.0,1
56,4,1,11,3,5,4,0,0,1,0,0,39,6,10,0,0,0,0,6,6,0,0,1,0.0,0.0,0
57,12,1,8,3,3,3,1,0,1,0,0,27,6,9,5,13,0,5,11,13,10,12,1,0.8333333333333334,0.9090909090909091,0
58,8,1,12,28,8,11,1,0,1,0,0,18,8,8,8,14,0,0,8,8,8,14,-3,1.0,1.0,1
59,1,3,2,27,5,10,1,0,1,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
60,1,2,12,14,10,10,0,0,1,0,0,18,7,8,6,13,0,0,8,12,7,12,0,0.8571428571428571,0.875,1
61,15,1,10,1,10,10,0,0,1,0,1,21,6,7,6,12,0,2,6,7,6,12,0,1.0,1.0,1
62,8,3,2,27,5,8,1,0,1,1,1,19,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0
63,8,1,5,1,4,5,1,0,1,1,0,19,6,6,5,11,0,0,6,8,1,10,1,0.8333333333333334,0.16666666666666666,0
64,14,1,5,1,4,4,0,0,1,1,0,24,6,6,0,0,0,0,6,6,0,0,-1,0.0,0.0,0
65,13,1,12,1,6,6,1,0,1,1,0,29,7,10,5,11,0,1,8,10,5,11,0,0.7142857142857143,0.625,0
66,1,3,2,14,6,4,1,0,1,1,1,19,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1
67,15,1,4,27,10,10,1,0,1,1,0,23,6,8,6,12,0,0,6,7,6,12,3,1.0,1.0,1
68,1,3,9,28,8,8,0,1,1,1,0,19,5,8,5,11,0,0,5,10,4,10,0,1.0,0.8,0
69,12,1,11,27,8,11,0,0,1,1,0,26,6,7,6,12,0,0,6,8,5,10,-1,1.0,0.8333333333333334,0
70,8,1,9,27,6,6,0,0,1,1,0,18,5,9,0,0,0,0,5,5,0,0,0,0.0,0.0,0
71,8,1,12,14,9,5,0,0,1,1,0,24,7,8,7,11,0,0,8,8,8,13,0,1.0,1.0,1
72,1,1,2,14,6,11,1,0,1,1,0,19,0,0,0,0,0,0,0,0,0,0,-4,0.0,0.0,0
73,8,4,11,27,6,8,1,0,1,1,0,18,6,12,3,11,0,0,6,12,1,12,1,0.5,0.16666666666666666,0
74,1,2,15,28,10,10,1,0,1,1,0,18,6,8,6,12,0,0,6,11,3,12,1,1.0,0.5,1
75,8,3,9,14,5,8,1,1,1,1,0,18,5,8,3,10,0,0,5,11,3,10,1,0.6,0.6,0
76,9,4,11,27,8,8,1,0,1,1,1,21,6,8,4,10,0,0,6,11,1,11,-3,0.6666666666666666,0.16666666666666666,0
77,8,4,15,14,10,9,1,1,1,1,1,19,6,6,6,13,0,0,6,6,6,13,3,1.0,1.0,1
78,8,4,12,27,10,10,0,0,1,1,1,22,7,7,7,14,0,0,8,9,8,15,0,1.0,1.0,1
79,12,1,3,27,10,7,0,0,1,1,0,33,6,8,6,12,0,0,6,6,6,11,1,1.0,1.0,1
80,1,6,16,14,10,10,1,0,1,1,0,20,6,8,5,12,0,0,6,7,5,12,1,0.8333333333333334,0.8333333333333334,0
81,12,1,17,3,3,3,1,0,1,1,0,35,1,1,0,0,1,0,5,0,0,0,1,0.0,0.0,0
82,12,1,4,3,5,3,0,1,1,1,0,24,12,17,6,12,0,7,12,14,10,13,1,0.5,0.8333333333333334,0
83,8,1,11,14,5,5,0,0,1,1,0,18,5,6,5,12,0,0,5,8,3,11,-1,1.0,0.6,0
84,12,1,3,27,10,7,1,0,1,0,0,33,6,7,6,11,0,0,6,11,5,11,-3,1.0,0.8333333333333334,1
85,13,1,12,28,10,8,1,0,1,0,1,22,8,8,7,13,0,0,8,8,7,13,1,0.875,0.875,1
86,12,1,14,14,5,6,0,0,1,0,1,25,5,7,4,10,0,0,5,7,5,11,-3,0.8,1.0,1
87,8,1,5,28,5,1,1,0,1,1,0,20,6,9,6,10,1,0,6,6,5,11,0,1.0,0.8333333333333334,1
88,1,6,9,27,10,10,1,0,1,1,0,23,5,6,4,14,0,0,5,5,5,13,2,0.8,1.0,0
89,14,2,7,14,10,7,1,1,1,1,0,18,5,9,2,10,0,0,5,9,0,0,-4,0.4,0.0,0
90,12,1,12,1,5,11,0,0,1,1,0,24,7,18,0,0,0,0,7,7,0,0,0,0.0,0.0,0
91,8,2,15,1,10,10,1,0,0,0,0,21,6,6,6,14,0,0,6,6,6,13,3,1.0,1.0,1
92,6,1,8,1,5,5,0,0,1,0,0,26,6,7,2,12,1,0,6,6,0,0,3,0.3333333333333333,0.0,0
93,12,1,16,24,1,1,0,0,1,0,0,39,6,12,3,12,0,0,6,14,0,0,0,0.5,0.0,0
94,12,1,3,14,10,10,0,0,1,0,0,44,8,11,8,11,0,0,6,7,6,12,-1,1.0,1.0,1
95,6,1,7,3,10,3,1,0,1,1,0,19,5,9,5,14,0,0,5,11,3,13,0,1.0,0.6,0
96,1,5,15,1,6,6,1,0,1,0,0,18,6,6,6,13,0,0,6,6,6,13,3,1.0,1.0,1
97,1,5,12,27,8,8,1,0,1,0,1,18,7,7,7,13,0,0,8,9,8,14,1,1.0,1.0,1
98,1,1,6,2,10,2,1,0,1,0,0,19,5,7,5,14,2,0,5,7,5,13,-1,1.0,1.0,0
99,1,4,12,3,3,3,1,1,0,0,0,19,7,10,4,11,0,0,7,7,0,0,0,0.5714285714285714,0.0,0
100,17,1,6,28,10,10,0,0,1,0,0,21,10,12,8,12,0,4,9,14,5,13,3,0.8,0.5555555555555556,0
101,1,4,2,1,10,11,1,0,1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1
102,12,1,3,27,7,6,1,0,1,0,0,36,6,0,0,0,0,0,6,0,0,0,-3,0.0,0.0,0
103,12,1,4,27,10,7,0,0,1,0,0,43,18,19,18,14,0,10,13,14,13,14,-4,1.0,1.0,1
104,9,1,16,14,10,8,1,0,1,0,0,19,6,0,0,0,0,0,6,0,0,0,2,0.0,0.0,0
105,16,1,5,1,3,9,0,1,1,0,0,20,10,12,10,13,0,5,11,11,11,12,2,1.0,1.0,1
106,1,2,10,28,5,8,1,0,1,0,0,19,6,0,0,0,0,0,6,0,0,0,0,0.0,0.0,0
107,1,1,6,1,5,5,1,0,1,0,0,20,6,15,4,14,0,0,6,17,4,13,-4,0.6666666666666666,0.6666666666666666,0
108,1,5,12,4,5,4,1,0,1,0,0,20,7,9,6,13,0,0,7,10,5,12,1,0.8571428571428571,0.7142857142857143,0
109,8,2,16,1,10,4,1,0,1,0,0,20,7,12,6,11,0,0,7,10,3,13,0,0.8571428571428571,0.42857142857142855,0
110,1,1,10,27,7,8,1,0,1,0,0,18,6,8,6,13,0,0,6,6,6,15,0,1.0,1.0,1
111,8,2,9,28,5,8,1,0,1,0,1,18,5,9,3,13,0,0,5,11,3,11,3,0.6,0.6,0
112,1,1,6,14,10,10,1,0,1,0,0,19,5,6,5,13,0,0,5,5,5,12,1,1.0,1.0,1
113,1,3,15,28,5,8,1,0,1,0,0,18,6,6,6,12,0,0,6,7,6,12,1,1.0,1.0,1
114,8,2,12,27,10,10,1,0,1,0,0,18,7,7,6,12,1,0,7,7,6,12,0,0.8571428571428571,0.8571428571428571,0
115,14,1,12,28,10,6,0,0,1,0,0,20,7,11,6,11,0,0,7,7,7,13,0,0.8571428571428571,1.0,0
116,8,1,10,27,10,8,1,0,1,0,1,20,6,13,2,10,0,0,6,12,4,10,0,0.3333333333333333,0.6666666666666666,0
117,8,1,9,14,4,4,0,0,1,0,0,20,5,11,3,10,0,0,5,10,3,10,1,0.6,0.6,0
118,1,2,6,28,10,8,0,0,1,0,0,18,5,12,5,13,2,0,5,6,5,11,-3,1.0,1.0,1
119,1,1,9,14,5,6,0,0,1,0,0,18,5,5,5,12,0,0,5,5,5,14,2,1.0,1.0,1
120,8,1,11,1,5,6,1,0,1,0,0,21,6,12,3,11,0,0,6,12,2,11,-3,0.5,0.3333333333333333,0
121,1,2,9,14,10,8,1,0,1,0,0,19,5,8,5,10,0,0,5,9,4,11,0,1.0,0.8,1
122,1,1,2,14,3,10,0,0,1,0,0,19,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0
123,1,1,14,28,10,10,0,0,1,0,1,19,5,5,5,12,0,0,5,5,5,14,-3,1.0,1.0,1
124,1,1,6,28,5,8,1,0,1,0,0,19,6,15,6,14,0,0,6,13,6,12,-4,1.0,1.0,1
125,8,6,13,1,5,6,1,0,1,0,0,19,7,12,5,12,0,0,7,0,0,0,0,0.7142857142857143,0.0,0
126,15,1,6,27,10,10,1,0,1,0,0,20,6,7,6,14,0,1,6,17,5,13,1,1.0,0.8333333333333334,1
127,1,1,16,28,10,4,1,0,1,0,1,18,6,8,5,12,0,0,6,7,5,13,-3,0.8333333333333334,0.8333333333333334,0
128,8,3,10,29,6,4,1,0,1,0,0,18,6,7,6,13,0,0,6,6,6,13,1,1.0,1.0,1
129,8,6,12,27,9,10,1,0,1,0,0,19,7,7,7,13,0,0,8,9,8,15,1,1.0,1.0,1
130,1,3,12,14,6,9,1,0,1,0,1,18,7,9,7,13,0,0,8,9,7,13,0,1.0,0.875,0
131,8,2,5,27,10,10,1,0,1,0,0,18,6,6,6,12,0,0,6,6,6,13,0,1.0,1.0,1
132,1,4,9,14,5,9,1,0,1,0,0,19,5,7,5,12,0,0,5,5,5,14,3,1.0,1.0,1
133,8,6,12,14,4,4,1,0,1,0,0,19,7,8,5,14,0,0,7,7,0,0,0,0.7142857142857143,0.0,0
134,14,1,10,27,10,8,0,0,1,0,0,20,9,15,9,11,0,2,7,8,7,11,0,1.0,1.0,1
135,1,1,14,28,4,10,0,1,0,0,1,19,6,7,5,12,0,0,6,9,4,12,1,0.8333333333333334,0.6666666666666666,0
136,8,1,14,14,6,6,1,0,1,0,0,20,5,7,4,12,0,0,5,5,4,11,0,0.8,0.8,1
137,1,1,15,1,20,39,0,1,1,0,1,18,6,6,6,14,0,0,6,6,6,14,3,1.0,1.0,1
138,1,2,12,1,5,8,0,0,1,0,1,20,7,9,5,13,0,0,8,9,7,12,2,0.7142857142857143,0.875,0
139,9,1,12,1,5,9,0,0,1,0,0,18,7,8,7,17,0,0,8,8,8,17,0,1.0,1.0,1
140,1,5,12,27,10,10,1,0,1,0,0,19,7,7,6,12,0,0,7,7,6,12,0,0.8571428571428571,0.8571428571428571,1
141,1,6,15,1,5,5,1,0,1,0,1,19,6,8,6,12,0,0,6,10,5,12,1,1.0,0.8333333333333334,1
142,16,1,9,1,4,4,1,1,0,0,0,22,5,8,0,0,0,0,5,7,0,0,3,0.0,0.0,0
143,1,3,10,10,10,11,1,0,1,0,1,19,6,7,6,11,0,0,6,6,6,11,1,1.0,1.0,1
144,1,3,12,14,10,8,1,0,1,0,1,19,7,10,7,13,0,0,8,11,8,12,-4,1.0,1.0,1
145,8,5,16,28,6,7,1,0,1,0,1,19,6,10,5,12,0,0,6,9,5,10,-3,0.8333333333333334,0.8333333333333334,1
146,1,4,11,14,10,10,1,0,1,0,0,19,5,10,0,0,0,0,5,10,0,0,0,0.0,0.0,0
147,8,1,11,27,10,11,1,0,1,0,0,20,6,8,5,11,0,0,6,12,3,11,0,0.8333333333333334,0.5,0
148,1,1,9,14,3,11,0,0,1,0,0,18,5,10,5,13,0,0,5,9,5,14,0,1.0,1.0,1
149,1,1,12,14,10,10,0,0,1,0,1,20,7,8,6,13,0,0,8,9,7,14,2,0.8571428571428571,0.875,1
150,1,1,2,27,3,9,1,0,1,0,0,18,0,0,0,0,0,0,0,0,0,0,-3,0.0,0.0,0
151,1,1,6,28,5,8,0,0,1,0,0,19,5,6,5,12,0,0,5,6,5,13,0,1.0,1.0,1
152,8,1,16,28,8,7,1,0,1,0,0,18,6,11,3,12,0,0,6,10,5,10,-3,0.5,0.8333333333333334,0
153,1,1,16,27,10,10,1,0,1,0,0,18,6,7,6,13,0,0,6,8,5,11,0,1.0,0.8333333333333334,1
154,14,1,16,27,3,6,1,0,1,0,0,21,6,10,3,12,0,0,6,12,3,10,-3,0.5,0.5,0
155,1,1,16,27,7,7,0,0,1,0,0,19,6,8,6,12,0,0,6,10,4,11,0,1.0,0.6666666666666666,0
156,1,1,9,28,10,10,0,0,1,0,1,18,5,5,5,10,0,0,5,5,5,11,1,1.0,1.0,1
157,8,2,10,27,8,10,1,0,1,0,1,18,6,8,6,12,0,0,6,7,6,11,-1,1.0,1.0,1
158,1,3,10,1,10,11,1,0,1,0,0,20,6,10,4,11,0,0,6,9,6,11,-3,0.6666666666666666,1.0,1
159,12,1,3,14,7,9,0,0,1,0,1,24,6,11,5,11,0,0,6,9,5,12,2,0.8333333333333334,0.8333333333333334,1
160,1,1,14,1,5,2,0,0,1,0,0,19,6,6,6,13,0,0,6,9,6,13,1,1.0,1.0,0
161,1,1,12,27,10,8,1,0,1,0,1,18,7,9,7,12,0,0,8,12,7,12,-4,1.0,0.875,1
162,1,2,12,14,10,10,1,0,1,0,0,18,7,8,7,14,0,0,8,8,8,15,-4,1.0,1.0,1
163,8,5,16,10,5,5,1,0,1,0,0,21,6,13,4,11,0,0,6,10,3,11,1,0.6666666666666666,0.5,0
164,8,2,14,14,6,5,0,0,1,0,0,19,5,5,5,14,0,0,5,5,5,14,0,1.0,1.0,1
165,8,1,15,27,8,8,0,0,1,0,1,19,6,6,6,12,0,0,6,7,6,13,-4,1.0,1.0,1
166,12,1,4,27,7,7,0,1,1,0,0,47,1,1,0,0,0,0,6,0,0,0,3,0.0,0.0,0
167,8,3,10,14,8,9,0,0,1,0,0,19,6,10,5,11,0,0,6,12,4,11,0,0.8333333333333334,0.6666666666666666,1
168,12,1,12,2,2,2,0,0,1,0,0,29,8,8,7,14,0,1,8,8,7,14,-1,0.875,0.875,1
169,14,1,10,14,5,9,1,0,1,0,0,21,6,13,3,12,0,0,6,12,2,11,0,0.5,0.3333333333333333,0
170,12,1,6,14,10,8,1,0,1,0,0,28,5,13,4,11,1,0,5,11,4,10,-1,0.8,0.8,0
171,8,2,13,27,4,11,0,0,1,0,0,20,7,8,7,12,0,0,8,8,8,13,-4,1.0,1.0,1
172,8,1,12,28,5,6,1,0,1,0,0,19,7,7,6,11,0,0,7,7,6,11,0,0.8571428571428571,0.8571428571428571,1
173,13,1,3,2,5,7,0,0,1,0,0,26,6,10,3,11,0,0,6,8,5,12,-3,0.5,0.8333333333333334,1
174,8,2,11,27,10,9,1,1,0,0,0,20,6,8,4,11,0,0,6,6,6,13,2,0.6666666666666666,1.0,0
175,1,1,14,27,10,10,1,0,1,0,1,18,5,6,3,11,0,0,5,6,4,13,0,0.6,0.8,0
176,12,1,16,14,10,6,0,0,1,0,0,27,6,9,5,13,0,0,6,10,5,12,0,0.8333333333333334,0.8333333333333334,1
177,1,2,12,24,12,12,1,0,1,0,0,20,7,8,4,11,0,0,7,8,4,11,0,0.5714285714285714,0.5714285714285714,0
178,1,5,16,14,10,6,1,0,1,0,0,18,6,8,5,12,0,0,6,12,5,10,-3,0.8333333333333334,0.8333333333333334,0
179,4,1,12,1,10,6,0,0,1,0,0,33,7,8,6,14,0,3,8,10,6,14,0,0.8571428571428571,0.75,0
180,14,1,16,1,4,4,1,0,1,0,0,35,21,21,21,12,0,13,19,19,19,12,1,1.0,1.0,1
181,15,1,17,14,10,9,0,0,1,0,1,26,6,7,6,12,0,2,6,7,6,13,-3,1.0,1.0,0
182,12,1,15,14,4,5,0,1,0,0,0,27,6,6,5,12,0,0,6,6,0,0,2,0.8333333333333334,0.0,0
183,9,3,5,27,6,6,1,0,0,0,0,19,6,6,6,12,0,0,6,6,0,0,-4,1.0,0.0,0
184,8,2,11,14,5,7,0,0,1,0,0,20,6,0,0,0,0,0,6,0,0,0,2,0.0,0.0,0
185,9,2,9,3,6,8,1,1,0,0,0,20,5,9,3,10,0,0,5,9,3,10,1,0.6,0.6,0
186,14,1,10,27,6,10,0,1,0,0,0,21,10,18,8,11,0,0,6,12,4,10,-3,0.8,0.6666666666666666,0
187,8,3,12,1,10,5,1,0,1,0,1,18,7,7,6,13,0,0,7,7,6,13,0,0.8571428571428571,0.8571428571428571,1
188,12,1,6,14,10,10,1,0,1,0,0,24,6,10,2,11,0,0,6,6,0,0,3,0.3333333333333333,0.0,0
189,8,4,5,3,5,2,1,0,1,0,0,20,6,7,6,11,0,0,6,6,6,12,0,1.0,1.0,1
190,1,1,11,28,10,9,0,0,1,0,1,21,6,7,6,12,0,0,6,6,6,12,0,1.0,1.0,1
191,1,1,3,27,8,4,0,0,1,0,0,23,6,13,2,10,0,0,5,12,1,10,-3,0.3333333333333333,0.2,0
192,12,1,9,3,5,4,1,0,1,0,0,24,5,5,0,0,0,0,5,5,0,0,0,0.0,0.0,0
193,16,1,16,1,5,11,0,0,1,0,0,21,6,0,0,0,0,0,6,0,0,0,1,0.0,0.0,0
194,1,4,12,28,10,9,1,0,1,0,0,18,8,8,7,12,0,0,8,8,7,12,-1,0.875,0.875,1
195,12,1,17,1,4,5,1,0,1,0,0,27,5,0,0,0,0,0,5,0,0,0,3,0.0,0.0,0
196,9,6,12,27,6,6,1,0,1,0,0,18,8,8,8,12,0,0,8,8,8,12,-3,1.0,1.0,1
197,4,1,7,2,3,3,0,0,1,0,0,35,5,0,0,0,0,0,5,0,0,0,0,0.0,0.0,0
198,1,1,16,14,4,9,0,0,1,0,0,18,7,9,7,12,0,0,7,8,7,14,2,1.0,1.0,1
199,12,1,12,3,28,19,0,0,1,0,0,35,3,4,3,11,0,0,3,3,3,11,2,1.0,1.0,0
200,1,1,6,1,5,8,1,0,1,0,0,19,5,9,4,13,0,0,5,13,4,14,1,0.8,0.8,1
201,1,4,10,14,5,1,1,0,1,0,0,20,6,8,6,11,0,0,6,6,6,11,0,1.0,1.0,1
202,1,4,12,14,8,8,1,0,1,0,0,18,8,8,7,12,0,0,8,8,7,12,1,0.875,0.875,1
203,15,1,10,28,6,11,0,1,1,0,0,21,6,6,6,12,0,2,6,7,6,11,0,1.0,1.0,1
204,8,2,10,27,10,9,0,0,1,0,1,18,6,11,5,11,0,0,6,11,4,11,0,0.8333333333333334,0.6666666666666666,1
205,1,1,10,24,1,1,1,0,1,0,0,18,6,9,4,11,0,0,6,9,4,10,0,0.6666666666666666,0.6666666666666666,1
206,1,2,12,28,10,10,1,0,1,0,0,18,8,8,7,12,0,0,8,8,7,12,-1,0.875,0.875,1
207,1,4,15,14,2,5,1,0,1,0,1,18,6,6,6,13,0,0,6,6,6,14,0,1.0,1.0,1
208,1,1,6,1,9,8,1,0,1,0,0,19,6,8,6,13,0,0,6,9,5,13,0,1.0,0.8333333333333334,1
209,12,1,11,14,3,4,0,0,1,0,1,36,6,7,6,13,0,0,6,6,5,12,0,1.0,0.8333333333333334,0
210,1,2,12,1,8,5,1,0,1,0,1,18,8,8,7,12,0,0,8,8,7,12,-1,0.875,0.875,1
211,1,1,12,27,10,10,0,0,1,0,1,18,7,7,6,12,0,0,7,7,6,12,0,0.8571428571428571,0.8571428571428571,1
212,14,1,8,3,10,3,1,0,1,0,1,20,6,8,6,15,0,0,6,8,6,15,0,1.0,1.0,1
213,12,1,17,27,10,10,0,0,1,0,1,26,5,7,0,0,0,0,5,8,0,0,0,0.0,0.0,0
214,14,1,15,1,5,6,0,0,1,0,0,21,6,8,6,11,0,0,6,7,6,12,0,1.0,1.0,1
215,12,1,13,1,5,6,0,0,1,0,0,25,7,10,6,12,0,0,8,9,8,13,-4,0.8571428571428571,1.0,0
216,9,1,9,3,6,6,1,0,1,0,1,19,5,7,5,11,0,0,5,5,5,11,1,1.0,1.0,1
217,12,1,3,27,9,8,1,0,1,0,0,24,6,11,1,10,0,0,6,6,0,0,-3,0.16666666666666666,0.0,0
218,12,1,3,14,6,5,0,0,1,0,1,27,6,16,1,10,0,0,6,13,0,0,3,0.16666666666666666,0.0,0
219,8,1,6,27,2,4,0,0,1,0,0,21,5,10,0,0,1,0,5,9,2,13,0,0.0,0.4,0
220,1,1,9,28,8,8,0,0,1,0,1,18,5,7,4,13,0,0,5,8,3,12,-3,0.8,0.6,1
